bloc,DIP,ECO,EDU,HIS,HUM,HUM+LEG,LEG,MOR,POL,SEC
Gauche radicale,0.01772374395781456,0.005273180020506811,0.0,0.004833748352131244,0.7722279185586641,0.00014647722279185587,0.09521019481470631,0.08129485864948001,0.0,0.02328987842390508
Gauche moderee,0.05991735537190083,0.011363636363636364,0.0,0.006198347107438017,0.640495867768595,0.0010330578512396695,0.15495867768595042,0.08884297520661157,0.0,0.0371900826446281
Centre / Majorite,0.11895161290322581,0.004032258064516129,0.0006720430107526882,0.02956989247311828,0.290994623655914,0.0,0.04032258064516129,0.20900537634408603,0.0006720430107526882,0.3057795698924731
Droite,0.02711864406779661,0.01288135593220339,0.0,0.04474576271186441,0.11050847457627119,0.0,0.015593220338983051,0.3410169491525424,0.0,0.44813559322033897
