bloc,anger,defense,defiance,fear,grief,indignation,neutral,solidarity
Gauche radicale,0.04127161182375906,0.0,0.008365867261572783,0.0016731734523145567,0.0736196319018405,0.6366424986056888,0.11377579475738984,0.12465142219743447
Gauche moderee,0.010869565217391304,0.0,0.0018115942028985507,0.005434782608695652,0.17753623188405798,0.3713768115942029,0.29891304347826086,0.13405797101449277
Centre / Majorite,0.0010905125408942203,0.0021810250817884407,0.09378407851690294,0.03271537622682661,0.10905125408942203,0.26717557251908397,0.4394765539803708,0.05452562704471101
Droite,0.015294117647058824,0.0,0.4117647058823529,0.03764705882352941,0.029411764705882353,0.36470588235294116,0.11529411764705882,0.02588235294117647
