group,0
DEM,53
HOR,68
SOC,79
NI,82
UDR,87
ECO,91
MODEM,182
PS-NFP,318
LR,320
GDR,395
REN,480
ECO-NFP,483
EPR,706
LFI,832
RN,987
LFI-NFP,5611
