month,bloc,care,fairness,loyalty,authority,sanctity,n,month_ts
2023-10,Centre / Majorite,0.13470475981853672,0.07845983304467524,0.0933676034326936,0.07442266661219771,0.07871941677779543,255,2023-10-01
2023-10,Droite,0.13087584853877085,0.07103393329611013,0.08858099448535323,0.06717709578346899,0.0748067260884417,300,2023-10-01
2023-10,Gauche moderee,0.13419992213870155,0.07650568225008507,0.0935126107731789,0.07160582634740727,0.07852326507093714,153,2023-10-01
2023-10,Gauche radicale,0.14178600534365068,0.0854056717954362,0.096661684741854,0.07963585665092139,0.08334359177484689,645,2023-10-01
2023-11,Centre / Majorite,0.11806954268982042,0.06914870399460087,0.08342831525434677,0.06367078755939942,0.07289285045505811,107,2023-11-01
2023-11,Droite,0.13807867046447123,0.07783763334813942,0.09145571634472786,0.08019564320043744,0.08338709970889385,107,2023-11-01
2023-11,Gauche moderee,0.12497269194200132,0.05451762285161836,0.07825512726438484,0.06455525446044687,0.062025488412188225,55,2023-11-01
2023-11,Gauche radicale,0.12832128906291743,0.07836551787096116,0.09185129629280499,0.0697667632856762,0.07616459260345869,332,2023-11-01
2023-12,Centre / Majorite,0.13534261103911954,0.08020078173495038,0.07826803307651461,0.0800712418405336,0.07348786733712427,10,2023-12-01
2023-12,Droite,0.139478466982959,0.08967779700696628,0.07777966329508484,0.0829877230017145,0.07005449056156951,16,2023-12-01
2023-12,Gauche moderee,0.12200358863760227,0.08810777506433608,0.0907507679241411,0.06977501157114478,0.06535312143968448,16,2023-12-01
2023-12,Gauche radicale,0.1398092329222508,0.08335545234087322,0.08831698097848736,0.07957219173808049,0.07857795942817888,157,2023-12-01
2024-01,Centre / Majorite,0.1172874445527331,0.06051006702547637,0.08031739800491572,0.06365315339252949,0.06683794315647011,64,2024-01-01
2024-01,Droite,0.1496737329659903,0.08757152941102102,0.08261002173517355,0.07256611303825324,0.0706759225495542,32,2024-01-01
2024-01,Gauche moderee,0.1289327234550578,0.06305902170932207,0.08850485924543587,0.07383914395866119,0.07205629385063811,30,2024-01-01
