ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;CONTEXTE;URL;TEXTE;MOTS_CLES;HORS_SUJET;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0087;Assemblee;Mme Nathalie Oziol;LFI;2024-05-21;P4_rafah;;;ainsi que les offensives en cisjordanie se poursuivent l aide humanitaire est bloquee par le gouvernement israelien aux portes de gaza;israelien, israel, gaza, gouvernement israelien, cisjordanie, aide humanitaire;;;;;;
0088;Assemblee;Mme Gabrielle Cathala;LFI-NFP;2025-11-13;P7_cessez_feu;;;ce que nous venons d entendre de la part de mme yadan illustre bien ses traditionnelles prises de parole racistes et vous alors sur les bancs du groupe rn et pathetiques des qu il s agit du peuple palestinien applaudissements sur les bancs du groupe lfi nfp les engagements internationaux de la france l obligent a respecter la convention pour la prevention et la repression du crime de genocide de 1948 le statut de rome etablissant la cour penale internationale cpi memes mouvements et la commission d enquete internationale independante du conseil des droits de l homme cdh de l onu qui a etabli que quatre des cinq criteres d un genocide etaient reunis mais elle pratique une politique de deux poids deux mesures permanente comme lorsque m macron lui meme repond a m meyer habib pour lui indiquer que le salon milipol pourra accueillir dans quelques jours trente huit exposants israeliens en depit de tous les engagements pris par notre pays applaudissements sur plusieurs bancs du groupe lfi nfp comme lorsqu un colloque est interdit par le ministre de l enseignement superieur tandis qu un autre au senat est organise par elnet et finance par le gouvernement de m netanyahou le temps de parole etant ecoule mme la presidente coupe le micro de l oratrice les deputes du groupe lfi nfp applaudissent cette derniere;israelien, israel, israeliens, netanyahou, palestinien, cpi, onu, genocide, cour penale internationale;;;;;;
0089;Twitter;mathildepanot;LFI-NFP;2025-10-13;P7_cessez_feu;;/CAMARAMlissa2/status/1977753173780570218#m;"LIBRE ! 🇵🇸

#FreePalestine";palestine;;;;;;
0090;Twitter;gabrielattal;EPR;2025-03-15;P7_cessez_feu;;/GabrielAttal/status/1900955321851617610#m;"Aujourd’hui à Bethléem, en Cisjordanie, j’ai échangé avec des acteurs associatifs, humanitaires, économiques, culturels, cultuels et institutionnels palestiniens. 

À l’écoute de leur quotidien, convaincu de l’espérance partagée, d’une solution respectant les droits et l’avenir de chacun.";palestiniens, palestinien, cisjordanie;;;;;;
0091;Twitter;deputee_obono;LFI-NFP;2025-03-18;P7_cessez_feu;;/Deputee_Obono/status/1902119305388368009#m;"🇵🇸 Le génocide continue à Gaza. Notre mobilisation aussi. 
#CessezLeFeu #FreePalestine";palestine, gaza, genocide;;;;;;
0092;Twitter;caronaymericoff;LFI-NFP;2025-04-09;P7_cessez_feu;;/CaronAymericoff/status/1909841942877552726#m;"Ah il ne manquait que le @Le_CRIF et @Yonathan_Arfi, que j’aurais pu citer hier parmi les complices du génocide en cours à Gaza. 
Ils sont toujours là pour justifier les crimes de l’armée israélienne.
Les mots que j’utilise sont validés par les historiens et les spécialistes du sujet, parmi lesquels Omer Bartov.
C’est vous l’ignorant, @Yonathan_Arfi, qui ne connaissez pas bien un sujet qui ne vous autorise pas à préempter des concepts (au passage, preuve de votre ignorance du vocabulaire, Auschwitz était devenu un camp d’extermination, ce n’est pas la même chose qu’un camp de concentration).";israelien, israel, gaza, israelienne, armee israelienne, crif, genocide;;;;;;
0093;Twitter;louisboyard;LFI-NFP;2024-05-28;P4_rafah;;/LouisBoyard/status/1795464541343486169#m;"Deux semaines d’exclusion de l’Assemblée contre @sebastiendelogu.

Pour avoir brandit le drapeau Palestinien.

Le drapeau d’un peuple victime de génocide.

Devant le Gouvernement français qui détourne les yeux.

Le soutien total et inconditionnel de @YaelBRAUNPIVET est dégoûtant.";palestinien, genocide;;;;;;
0094;Twitter;julienodoul;RN;2025-07-21;P7_cessez_feu;;/JulienOdoul/status/1947183262499041536#m;"Ce n’est pas la flottille de la liberté, mais celle de l’indécence.

J’aimerais que la @FranceInsoumise parte en croisière pour exiger la libération des otages et l'éradication du #Hamas, mais tout ça n’est qu’un coup de communication au service de l’agenda de #LFI.";hamas, otage, otages;;;;;;
0095;Twitter;eciotti;UDR;2025-08-28;P7_cessez_feu;;/eciotti/status/1961130126130712604#m;"Au monument aux morts de Rauba-Capeù de Nice pour honorer la mémoire des résistants libérateurs de Nice. Grace à eux, le joug de la barbarie s’arrêtait le 28 août 1944.

Il y a 81 ans, des hommes et des femmes ont fait le sacrifice de leur vie pour que Nice redevienne elle même.";crif, onu;;;;;;
0096;Twitter;portes_thomas;LFI-NFP;2025-09-22;P7_cessez_feu;;/Portes_Thomas/status/1970195913399238881#m;"La reconnaissance de l’état de Palestine doit s’accompagner de sanctions fortes contre l’état israélien qui commet un génocide. 

Nous ne voulons pas un état pour les morts mais un état pour les vivants. 

Rien ne fera oublier la complicité de Macron dans le génocide en cours.";israelien, israel, palestine, genocide;;;;;;
0097;Twitter;arnaultraphael;LFI-NFP;2024-06-15;P4_rafah;;/ArnaultRaphael/status/1801907634443817154#m;"nous mettant parfois en danger, contre TOUTES formes de racisme au sein de nos diverses luttes.

Notre ligne est clair depuis le début : pour la paix entre les peuples, lutte contre l’antisémitisme, l’islamophobie et toutes formes de racisme. [3/4] ⤵️";antisemitisme, islamophobie;;;;;;
0098;Assemblee;M. Thomas Portes (LFI-NFP);LFI-NFP;2025-06-11;P7_cessez_feu;;;oqtf quatre lettres qui sonnent comme une sentence quatre lettres brandies pour flatter l extreme droite par tous les locataires successifs de la place beauvau quatre lettres devenues le cauchemar quotidien de milliers de familles quatre lettres symbolisant les realites personnelles effacees au nom d une politique migratoire purement comptable les oqtf sont devenues un outil punitif aux mains de l administration un levier de communication au service d un programme politique le resultat est clair une course aux chiffres dans les prefectures sans discernement ni humanite la france delivre autant d oqtf que la grece l italie et l espagne reunies en 2024 140 000 oqtf ont ete prononcees pour 20 000 retours effectifs entre 2019 et 2022 leur nombre a bondi de 60 cette situation a ete aggravee par votre circulaire du 23 janvier 2025 qui prolonge la brutalite de la loi darmanin de 2024 la 117e reforme migratoire depuis 1945 la quatrieme sous emmanuel macron cette loi est une reforme de plus toujours dans le meme sens plus d expulsions moins de droits cette circulaire calibree pour les plateaux de cnews impose aux prefets de prononcer systematiquement une oqtf a chaque refus de titre de sejour les elements d appreciation de la situation individuelle ancrage familial scolarisation des enfants conjoint francais situations de vulnerabilite sont ecartes la procedure devient mecanique aveugle inhumaine ne tentez pas de justifier cette politique au nom de la securite les chiffres sont clairs et vous contredisent entre 2019 et 2022 93 des oqtf visaient des personnes n ayant aucun passe judiciaire la cour des comptes elle meme tire la sonnette d alarme face a cette grave derive elle denonce dans son rapport de janvier 2024 la systematisation des oqtf devenue un enjeu de communication administrative elle revele aussi une realite inquietante des prefectures debordees comme celle de seine saint denis incapables de mener une analyse qualitative des situations et qui prononcent des oqtf a l encontre de personnes pourtant inserees dans la societe cela conduit a des situations indignes d un etat de droit dans ma circonscription en seine saint denis une oqtf a ete delivree a une mere d un enfant de 6 ans ne en france plongeant dans l anxiete cette femme censee pourtant etre protegee par son statut de parent d un mineur ne sur notre sol je pense aussi a ce militant kurde rescape de la tuerie raciste de la rue d enghien vise par une oqtf alors qu il est le seul temoin oculaire du drame et qu il est appele a s exprimer devant la cour d assises en 2026 l eloigner c est faire obstacle a la justice francaise et le renvoyer dans un pays ou il risque la prison pour son engagement politique enfin je pense a shama menacee d expulsion vers gaza alors qu elle avait rejoint son frere franco palestinien a aix en provence pour l accompagner dans ses soins quotidiens expulser des personnes vers une terre devastee par un genocide en cours ou l aide humanitaire est elle meme entravee voila le resultat absurde de la politique que vous menez vous allez jusqu a utiliser l oqtf comme un outil de tension diplomatique agitant le chiffon rouge devant nos amis algeriens au mepris des binationaux au detriment des liens familiaux qui unissent des millions de francais et d algeriens sachez monsieur le ministre que nous avons honte pour vous honte de votre politique qui criminalise les etrangers honte de l administration numerique pour les etrangers en france anef et de la dematerialisation des demarches qui provoque des ruptures de droits massives et systematiques comme l a denonce la defenseure des droits honte aussi des politiques europeennes que vous soutenez et de leurs terribles consequences une crise de l accueil faite de barbeles de murs et de mers transformees en cimetieres ou les cadavres s accumulent quel est le resultat de cette politique l augmentation du nombre d oqtf pour rassurer vos electeurs et remporter un congres pour surfer de concert avec vos amis d extreme droite sur un amalgame honteux et infonde entre immigration et insecurite en 2022 le mot oqtf apparaissait 5 598 fois sur les radios et les plateaux tele or 70 de ces occurrences se concentraient sur une seule chaine cnews celle de votre ami vincent bollore celui la meme qui soutient le commerce du bois servant au financement des guerres civiles qui contraignent des milliers de personnes a l exil voila ou nous insoumis appelons a regarder vers les causes profondes des migrations guerres imperialistes crises climatiques et capitalisme predateur tant que ces causes seront niees votre politique restera ce qu elle est une machine a exclure a briser a faire mal vos pratiques de fichage et de harcelement administratif les propos islamophobes et racistes que vous encouragez dans l espace public vos politiques discriminatoires tout cela alimente la haine nos concitoyens l ont paye de leur vie en particulier hichem miraoui assassine par un homme qui se revendiquait soutien du rassemblement national nous humanistes et antiracistes sommes fiers de defendre un autre horizon celui de la creolisation qui est la rencontre des humanites et des alterites au sein de cultures et de modes de vie communs jamais nous ne cederons aux divisions et aux haines racistes jamais nous n encouragerons comme l extreme droite la division du peuple au contraire nous revendiquons l unite du peuple pour mettre un coup d arret a vos politiques monsieur le ministre sachez que vous nous trouverez toujours sur votre chemin chaque fois que vous menacerez celles et ceux qui sont aujourd hui cette nouvelle france;gaza, palestinien, islamophobe, genocide, aide humanitaire;;;;;;
0099;Assemblee;M. Pierre-Henri Dumont;LR;2023-11-28;P2_offensive;;;interdit aux militantes qui voulaient denoncer les viols commis par le hamas de participer a cette manifestation vives protestations sur les bancs du groupe lfi nupes;hamas;;;;;;
0100;Assemblee;M. Pierre Dharréville;GDR;2023-10-31;P1_choc;;;dimanche des artistes s etaient donne rendez vous sur le marche de port de bouc afin de produire une oeuvre collective pour la paix a destination de l onu dans notre peuple comme dans beaucoup d autres peuples du monde l aspiration a la paix est forte quoique matinee d inquietude et de revolte alors que l humanite est traversee par les conflits nous n oublions pas l ukraine et l armenie il est salutaire qu elle puisse se manifester desolation bombes fuite morts les attaques criminelles meurtrieres et aveugles du hamas ont alimente un engrenage de guerre et de violence qui semble sans limites l offensive militaire qui s intensifie a gaza est insupportable tous les crimes de guerre doivent etre condamnes;gaza, hamas, onu, crimes de guerre;;;;;;
0101;Twitter;aquatennens;LFI;2023-07-16;P0_pre_7oct;;/AQuatennens/status/1680624856092626945#m;"L’extrême-droite antisémite menace mais le Président du #CRIF est trop occupé à tirer sur Mélenchon. 

Les 16 et 17 juillet 1942, la police française arrête et déporte 13 000 juifs. 
Ces pauvres victimes ont aujourd’hui de bien piètres «représentants» autoproclamés. Honte à eux.";crif, antisemite;;;;;;
0102;Twitter;caronaymericoff;LFI-NFP;2024-02-26;P3_post_cij;;/CaronAymericoff/status/1762115896233828743#m;"Il y a une émission sur Radio J avec un concept particulier: toutes les semaines un ancien journaliste, @frhaz, invite quelqu’un pour lui faire dire que la @FranceInsoumise, @JLMelenchon ou toutes celles et tous ceux qui s’engagent pour que cessent les massacres d’enfants à Gaza sont antisémites.
Et quand ses invités ne le disent pas assez franchement, il revient à la charge et met les mots dans leur bouche. 
Certains il est vrai ne se font pas prier, comme ici Richard Berry, qui fait le pire en décrétant que la critique du gouvernement d’extrême-droite israélien équivaut à de l’antisémitisme.";israelien, israel, gaza, antisemitisme, antisemite, massacre;;;;;;
0103;Assemblee;M. Jean-Paul Lecoq;GDR;2023-05-04;P0_pre_7oct;;;madame la presidente madame la secretaire d etat chargee de l europe mes chers collegues il y a un peu plus de dix ans lorsque je siegeais a l assemblee parlementaire de l organisation pour la securite et la cooperation en europe osce au nom de la liberte d expression toute la delegation francaise de l ump union pour un mouvement populaire aux communistes en passant par les centristes et les socialistes avait vote contre une resolution allemande visant a assimiler la critique de la politique d israel dans les universites et dans la presse a de l antisemitisme mme ersilia soudais applaudit les polemiques qui entourent le debat consacre a la presente proposition de resolution demontrent que le consensus republicain de l epoque a desormais vole en eclats pourtant je vous appelle mes chers collegues avec gravite au dela de notre attachement profond a l existence de l etat d israel a porter un regard critique sur la derive illiberale et coloniale de cet etat pour trouver le chemin de la paix cette resolution est une contribution a la paix fondee sur le droit international et rien d autre;israel, siege, antisemitisme, droit international;;;;;;
0104;Twitter;amelia_lkf;EPR;2024-11-20;unknown;;/Amelia_LKF/status/1859092471864524873#m;"#Soudan #ONU 
⁉️ Des millions de civils pris au piège, et une résolution essentielle bloquée par un veto #russe au Conseil de sécurité.
L’urgence est réelle : cessez-le-feu immédiat et accès humanitaire sont vitaux. 
Ne détournons pas les yeux. Le Soudan mérite notre attention et notre action !
@NDeRiviere @UN @ONU_fr";civils, onu, cessez-le-feu, conseil de securite;;;;;;
0105;Twitter;sebchenu;RN;2023-10-24;P1_choc;;/sebchenu/status/1716858496702951482#m;"""Dans notre pays, des manifestations se sont déroulées sous les sinistres cris de « Allah Akbar ». J’interpellais cet après-midi la Première ministre #Borne sur la menace des manifestations pro-Hamas en France. #QAG #DirectAN @groupeRN_off";hamas;;;;;;
0106;Twitter;bruno_fuchs;DEM;2025-10-13;P7_cessez_feu;;/bruno_fuchs/status/1977670159646302395#m;Nous partageons la joie des familles et du peuple israélien alors que plusieurs #otages viennent d’être remis à la Croix-Rouge. Leur libération, ainsi que celle attendue dans les prochaines heures, nourrit l’espoir de paix pour #Israël, #Gaza et toute la région.;israelien, israel, gaza, otage, otages;;;;;;
0107;Twitter;amiel_david_;inconnu;2023-10-16;P1_choc;;/Amiel_David_/status/1714013975304618446#m;"De tout cœur avec la Belgique ce soir.

En France, en Belgique, en Israël, nos démocraties sont toutes attaquées par le terrorisme islamiste.";israel;;;;;;
0108;Twitter;hadrienclouet;LFI-NFP;2024-01-30;P3_post_cij;;/HadrienClouet/status/1752370593188508043#m;"🤔Les offres d'emploi illégales, d'où viennent-elles ?

Explications sur mon blog ➡️ hadrienclouet.fr/2024/01/30/…";illegal, illegale;;;;;;
0109;Assemblee;Mme Aurore Bergé;REN;2023-05-04;P0_pre_7oct;;;cette meconnaissance s exprime encore dans l affirmation qu israel aurait fait le choix historique de la colonisation je cite de nouveau l expose des motifs de votre proposition de resolution c est jeter aux oubliettes les premiers juifs qui s y sont installes pour fuir l horreur des pogroms c est oublier qu en 1948 en 1967 et en 1973 israel a lutte certes mais pour sa survie applaudissements sur les bancs des groupes re et lr vous vous enfermez dans ce deni de realite meme quand les faits vous donnent tort ainsi vous osez affirmer que les 1 9 million d arabes israeliens sont opprimes et domines depuis soixante quinze ans alors que leurs droits sont garantis par la loi israelienne alors qu ils travaillent et qu ils votent alors qu en un mot ils vivent pleinement comme citoyens de l etat d israel;israelien, israel, israeliens, israelienne, colonisation;;;;;;
0110;Twitter;clairemlejeune;LFI-NFP;2025-06-25;P7_cessez_feu;;/ClaireMLejeune/status/1937798913559306302#m;"Magnifique nouvelle qui nous arrive de New York où le candidat Zohran Mamdani emporte largement la primaire démocrate, déjouant les pronostics qui donnaient un score serré. 

Clair sur la condamnation du génocide en Palestine. Clair sur son opposition sans concession à Trump et son monde. D'une gauche qui est là pour le peuple et qui est sans compromis avec la vieille ligne neoliberale des Démocrates qui a mené Harris et Biden dans le mur et le pays à Trump. Les gens y voient clair et n'en veulent plus. La gauche radicale, qui tient debout et résiste, est splendide et donne à espérer. 

Congrats @ZohranKMamdani ✊";palestine, genocide;;;;;;
0111;Twitter;mathildepanot;LFI-NFP;2025-10-19;P7_cessez_feu;;/MathildePanot/status/1979885077296271493#m;"Sébastien Lecornu a menti. 

Il a affirmé qu'aucune arme n'a été vendue à Israël alors que @Disclose_ngo a révélé que la France a livré « un flux continu » de composants d'armes vers Israël.

Je le redis : Sébastien Lecornu incarne la complicité de la France vis-à-vis du génocide à Gaza.";israel, gaza, genocide;;;;;;
0112;Assemblee;M. Thomas Portes;LFI;2024-03-05;P3_post_cij;;;il ne s agit pas de legitime defense applaudissements sur quelques bancs du groupe lfi nupes il ne s agit pas d une operation militaire il s agit du genocide du peuple palestinien comme l ont dit les medecins francais de retour de gaza applaudissements sur les bancs du groupe lfi nupes face a l horreur les mots ne suffisent pas a couvrir la lachete de vos actes combien de temps la france va t elle regarder le massacre en cours a gaza sans agir combien de temps la france va t elle refuser de prendre des sanctions economiques et diplomatiques contre israel applaudissements sur les bancs du groupe lfi nupes mme elsa faucillon applaudit egalement quand passerez vous enfin des paroles aux actes pour imposer le cessez le feu et arreter le massacre du peuple palestinien mmes et mm les deputes du groupe lfi nupes ainsi que mme elsa faucillon se levent et applaudissent applaudissements sur plusieurs bancs des groupes soc ecolo nupes et gdr nupes;israel, gaza, palestinien, genocide, legitime, massacre;;;;;;
0113;Assemblee;M. Jérôme Legavre;LFI-NFP;2025-10-28;P7_cessez_feu;;;ils s appelaient zyed benna et bouna traore oh sur plusieurs bancs du groupe rn ils avaient 17 et 15 ans ils avaient la vie devant eux le 27 octobre 2005 ils rentrent d un match de foot pris en chasse par une patrouille de la brigade anticriminalite effrayes ils se refugient dans l enceinte d un poste edf et meurent electrocutes c etait il y a vingt ans et nous n oublions pas nous pensons a leur famille et leurs proches endeuilles a jamais applaudissements sur les bancs des groupes lfi nfp soc et ecos vingt ans apres qu est ce qui a change il y a eu adama nahel wanys killian et tant d autres que disent ces noms ces visages tous renvoient a cette realite en vingt ans le nombre de deces imputables directement ou indirectement a l intervention des forces de police a plus que double a trois reprises l onu a designe la france comme le pays europeen ayant le plus grand nombre de personnes tuees ou blessees par des agents de la force publique en vingt ans 162 personnes ont ete tuees a la suite d un controle de police ou d une tentative de controle pour le defenseur des droits les jeunes noirs ou arabes ont quatre fois plus de risque d etre controles et douze fois plus de subir un controle pousse en vingt ans la france a connu une escalade de mesures repressives sous le quinquennat de francois hollande il y a eu la loi de mars 2017 qui donne un permis de tuer applaudissements sur les bancs du groupe lfi nfp exclamations sur plusieurs bancs du groupe rn en vingt ans a clichy sous bois qu est ce qui a change 42 de la population vit en dessous du seuil de pauvrete la ville est la plus pauvre de seine saint denis la realite ne se decoupe pas en tranches la violence d etat le racisme alimente au plus haut niveau de l etat sont inseparables de vos politiques de regression sociale et d exploitation memes mouvements nous n accepterons jamais que des vies valent moins que d autres tout doit changer pour commencer la loi permis de tuer de bernard cazeneuve doit etre abrogee les controles discriminatoires au facies doivent etre interdits les deputes du groupe lfi nfp se levent et applaudissent;7 octobre, onu;;;;;;
0114;Assemblee;M. Jean-Louis Bourlanges (Dem);MODEM;2023-05-04;P0_pre_7oct;;;c est sans doute un des debats les plus difficiles auxquels nous sommes confrontes il suscite en nous des reactions multiples confuses et contradictoires et c est assurement un debat qui merite mieux que des noms d oiseaux ou des proces d intention m laurent croizier applaudit nous nous avancons comme l a dit tres sobrement notre porte parole m zgainski sur un terrain tres dangereux et nous devons le faire avec le secours de la raison de la prudence de la moderation et du sens des responsabilites nous sommes avant tout marques par la remontee de l antisemitisme un peu partout dans le monde notamment dans notre pays eh oui sur de nombreux bancs du groupe re et sur plusieurs bancs du groupe dem notre conviction est claire cette montee de l antisemitisme conduit a rendre difficile une approche totalement objective du probleme pose par la politique de l etat d israel nous sommes au groupe democrate modem et independants resolument sionistes pour employer un terme qui n est pas tres a la mode parce que le sionisme c est a dire la reconnaissance du droit des juifs qui le veulent a vivre dans un etat souverain libre et independant est a la base de la decision fondatrice d israel applaudissements sur les bancs des groupes dem et re mais je ne voudrais pas me livrer a une caricature j ai lu avec beaucoup d interet le rapport de m lecoq il exprime tres clairement son attachement personnel et celui de son groupe a un etat souverain et protege pour israel;israel, antisemitisme, sionisme, sioniste;;;;;;
0115;Twitter;sandrousseau;ECO;2023-12-24;P2_offensive;;/sandrousseau/status/1738992636952776899#m;"Un excellent réveillon à toutes celles et tous ceux qui le fêteront. 
Une solidarité avec celles et ceux qui travailleront.
Une pensée à celles et ceux qui, pour des raisons diverses, le passeront isolés. 

Soutien aux otages et à leurs proches.
Ainsi qu’aux civils de Gaza.
#Noel";gaza, civils, otage, otages;;;;;;
0116;Twitter;jfcoulomme;LFI-NFP;2025-12-17;P7_cessez_feu;;/AriaLavrilleux/status/2001208016880734470#m;"À @Disclose_ngo nous faisons face à 2 procédures bâillons:  
-Le parquet général a fait appel du non lieu dans l'affaire Egypt Papers : je risque dc un procès  
-Thales nous attaque en diffamation pour avoir révélé ses livraisons en Israël  
disclose.ngo/fr/page/support
cc @AJDPresse";israel;;;;;;
0117;Assemblee;Mme Insaf Rezagui;inconnu;2025-01-14;P6_mandats_cpi;;;je me concentrerai sur l avis consultatif du 19 juillet 2024 rendu par la cour internationale de justice cij qui est riche d enseignements il traite d une part des consequences des politiques menees par israel en palestine en particulier des lois et mesures discriminatoires prises contre les palestiniens d autre part des incidences de ces politiques sur le statut de l occupation et des consequences pour les etats dont la france en ce qui concerne la premiere question la cour souligne le lien entre l occupation par israel du territoire palestinien qui dure depuis cinquante sept ans et sa politique coloniale en violation de l article 49 de la quatrieme convention de geneve qui interdit a la puissance occupante de transferer sa population dans le territoire qu elle occupe or environ 800 000 colons sont etablis en cisjordanie et a jerusalem est soit une augmentation de 220 depuis le debut des annees 2000 cette politique coloniale passe par l implantation de colonies de peuplement la confiscation des terres palestiniennes l exploitation des ressources naturelles palestiniennes au profit des colons l imposition par israel d un droit militaire aux palestiniens de cisjordanie alors que les colons relevent des tribunaux civils israeliens le deplacement force de la population palestinienne et l accroissement des actes de violence commis par les colons et les forces de securite israeliennes contre les palestiniens la cour se prononce ensuite c est une nouveaute sur l annexion qu elle entend comme le fait pour la puissance occupante d acquerir par la force le territoire qu elle occupe c est a dire de l integrer au sien pour la cour les politiques israeliennes que je viens de citer revelent une volonte de controle permanent sur le territoire palestinien car elles sont destinees a rester en place indefiniment en consequence la cour considere qu il y a une annexion d une large partie du territoire palestinien enfin elle se prononce sur la discrimination a savoir le traitement differencie entre les israeliens et les juifs non israeliens d une part et les palestiniens en cisjordanie d autre part plusieurs discriminations sont visees par la cour les permis de residence octroyes les israeliens peuvent resider sans restriction a jerusalem est tandis que les palestiniens doivent disposer d un permis de residence qui peut etre revoque a la discretion du ministre de l interieur pour manquement a l obligation de loyaute due a l etat d israel la situation des palestiniens du reste de la cisjordanie notamment l interdiction de resider a jerusalem est les restrictions a la liberte de circulation telles que les routes reservees aux colons et la presence de 565 obstacles militaires la demolition de biens etc la cour se prononce egalement sur la segregation raciale et l apartheid l article 3 de la convention internationale sur l elimination de toutes les formes de discrimination raciale ciedr stipule que les etats parties condamnent specialement la segregation raciale et l apartheid et s engagent a prevenir a interdire et a eliminer sur les territoires relevant de leur juridiction toutes les pratiques de cette nature or pour la cour les politiques israeliennes entrainent une separation physique et juridique entre les colons et les palestiniens la cour en deduit qu israel viole l article 3 de ladite convention pour la cour les politiques israeliennes entravent le droit a l autodetermination du peuple palestinien et donc son droit a un etat independant car elles entrainent des changements dans le caractere physique le statut juridique la composition demographique et l integrite territoriale du territoire palestinien ces changements manifestent donc une intention de creer une presence israelienne permanente et irreversible j en viens aux consequences juridiques la presence continue d israel en palestine est un fait internationalement illicite continu qui engage sa responsabilite internationale en consequence israel doit mettre fin a sa presence dans le territoire palestinien dans les plus brefs delais mettre fin aux politiques et pratiques illicites et reparer les dommages causes a la population palestinienne certaines des obligations violees par israel sont opposables a tous les etats dont la france notamment celle de faire respecter le droit du peuple palestinien a l autodetermination de ne pas reconnaitre comme licite cette situation et de ne pas preter aide ou assistance au maintien de la situation le 18 septembre l assemblee generale des nations unies agnu a adopte une resolution qui reprend cette decision la france ayant vote en faveur de ce texte elle a des obligations juridiques l assemblee generale donne a israel douze mois pour se retirer du territoire palestinien elle impose donc a tous les etats de s acquitter de leurs obligations en favorisant la realisation du droit a l autodetermination du peuple palestinien ce qui impliquerait la reconnaissance de l etat de palestine deja reconnu par 147 des 193 etats membres de l onu certains etats comme la france qui ne reconnaissent pas l etat de palestine ont pourtant vote en faveur de ce texte ce vote positif traduit la fragilite de la position francaise sur la question il est difficile de justifier en droit international le soutien a des resolutions adoptees par l assemblee generale tout en refusant de reconnaitre l etat de palestine l assemblee generale demande aussi aux etats de faire la distinction dans leurs echanges entre israel et le territoire palestinien occupe de cesser la fourniture ou le transfert d armes a israel qui pourraient etre utilisees dans le cadre de l occupation et de prohiber l importation de tout produit provenant des colonies de peuplement israeliennes or l union europeenne ne le fait pas elle impose un simple etiquetage specifique pour tous les produits importes des colonies je conclurai en citant la cour internationale de justice selon laquelle la realisation du droit du peuple palestinien a l autodetermination y compris son droit a un etat independant coexistant dans la paix avec l etat d israel contribuerait a la stabilite regionale et a la securite de tous les etats du moyen orient finalement la cour rappelle a la societe internationale qu elle a le devoir et l obligation juridique d imposer la solution a deux etats et de faire respecter le droit international or aujourd hui il n y a plus de volonte politique dans cette region;palestiniens, israelien, israel, israeliens, palestiniennes, palestine, israeliennes, palestinien, palestinienne, israelienne, occupation, solution a deux etats, droit international, civils, cisjordanie, colons, onu, annexion, cij, deux etats, cour internationale de justice, autodetermination, nations unies, colonies, jerusalem;;;;;;
0118;Twitter;aurelientache;LFI-NFP;2023-10-30;P1_choc;;/Aurelientache/status/1719014754348319074#m;"🇵🇸 𝗥𝗔𝗦𝗦𝗘𝗠𝗕𝗟𝗘𝗠𝗘𝗡𝗧 𝗣𝗢𝗨𝗥 𝗟𝗘 𝗣𝗘𝗨𝗣𝗟𝗘 𝗣𝗔𝗟𝗘𝗦𝗧𝗜𝗡𝗜𝗘𝗡 📣

On se retrouve à 18h sur le parvis de la préfecture de Cergy pour appeler à la paix, à la fin du massacre du peuple palestinien et à un cessez-le-feu immédiat !";palestinien, massacre, cessez-le-feu;;;;;;
0119;Assemblee;M. Aymeric Caron;LFI;2023-10-24;P1_choc;;;en revanche il a propose que la coalition contre l etat islamique puisse lutter aussi contre le hamas protestations sur les bancs des groupes re lr et rn;hamas;;;;;;
0120;Twitter;legavrejerome;LFI-NFP;2025-07-07;P7_cessez_feu;;/LegavreJerome/status/1942137322935308342#m;"Ce que dit ici É. Borne revient à dire : « nous n’avons pas assez réprimé les étudiants de sciences Po, de La Sorbonne et d’ailleurs. Il faut aller plus loin ».
Très fier d’appartenir à un groupe parlementaire qui refuse l’instrumentalisation de la lutte contre l’antisémitisme et qui a refusé en bloc une loi liberticide, dont le seul objectif est de vouloir faire taire et mettre au pas ceux qu’indigne l’extermination des palestiniens.";palestiniens, palestinien, antisemitisme;;;;;;
0121;Twitter;s_legrain;LFI-NFP;2025-06-11;P7_cessez_feu;;/S_Legrain/status/1932857988802564550#m;"« Retenus en Israël » ? 

Ce message est une honte, tout comme la réponse de Bayrou à @MathildePanot 

Vos seuls mots de condamnation sont pour ceux qui se mobilisent pour que VOUS agissiez. 

Vous laissez Netanyahu vous piétiner, comme vous le laissez génocider les palestiniens.";palestiniens, israel, palestinien, netanyahu, genocide;;;;;;
0122;Twitter;frapiquemal;LFI;2025-04-15;P7_cessez_feu;;/FraPiquemal/status/1912104205021491527#m;"Un exemple ici du ravage de la pensée unique pro gouvernement d’extrême droite de Netanyahu qui touche ici le droit d’informer librement. 

Soutien aux journalistes qui essaient de faire leur travail dans des médias contaminés par la vague réactionnaire.";netanyahu;;;;;;
0123;Twitter;pycadalen;LFI-NFP;2025-06-21;P7_cessez_feu;;/pycadalen/status/1936342317591347270#m;"It might have been relevant to let Netanyahu's gouvernment know that you think ""dialogue is the only possible way forward"".

And accordingly condemn the preventive and illegal war he engaged.";netanyahu, illegal;;;;;;
0124;Twitter;stelladupont;inconnu;2024-03-05;P3_post_cij;;/stelladupont/status/1765042353415303612#m;"La position de la France est claire : le respect du droit international et l’urgence à préserver la vie des civils Palestiniens, a rappelé la Ministre @CZacharopoulou 
Il faut un cessez-le-feu immédiat ! 
#DirectAN";palestiniens, palestinien, droit international, civils, cessez-le-feu;;;;;;
