ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;CONTEXTE;URL;TEXTE;MOTS_CLES;HORS_SUJET;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0011;Twitter;arenasrodrigo_;inconnu;2025-05-29;P7_cessez_feu;;/arenasrodrigo_/status/1928143094592983063#m;LFI est pour une solution à 2 Etats ce qui implique l’existence de l’Etat d’Israël. Vous m’accorderez qu’avec le gouvernement Netanyahou, que je condamne, nous sommes loin de l’idéal porté par Yitzhak Rabin et Yasser Arafat que j’ai soutenu en leur temps. Je ne désespère pas.;israel, netanyahou;;;;;;
0012;Assemblee;Mme la présidente;Pr?sidence;2023-10-10;P1_choc;;;horreur sideration angoisse le monde est aujourd hui en etat de choc devant la violence de l attaque terroriste qui a frappe israel face a cette barbarie je veux redire ici qu israel est un pays ami a qui je reaffirme au nom de la representation nationale notre totale solidarite et notre soutien inconditionnel applaudissements prolonges sur les bancs des groupes re rn lr dem soc hor ecolo nupes gdr nupes et liot ainsi que sur quelques bancs du groupe lfi nupes de nombreux deputes des groupes rn et lr huent leurs collegues qui n applaudissent pas tous les deputes se levent les deputes des groupes re rn lr dem soc hor ecolo nupes gdr nupes et liot applaudissent longuement a l heure ou nous parlons les combats se poursuivent et le nombre de victimes ne cesse de s alourdir nous pleurons egalement la mort de quatre de nos compatriotes et nous sommes toujours sans nouvelles de treize d entre eux rien ne justifie ni ne justifiera jamais le terrorisme aucune cause n autorise a tirer sur des civils a enlever des enfants a utiliser des otages comme des boucliers humains partout sous toutes ses formes et quels qu en soient les pretextes le terrorisme doit etre condamne et combattu sans ambiguite et sans la moindre nuance attenter a un pays democratique c est attaquer toutes les democraties du monde attenter aux populations civiles c est menacer l humanite entiere en hommage aux victimes en temoignage de notre solidarite avec leurs familles et avec celles qui sont sans nouvelles de personnes prises en otage ou portees disparues je vous demande de bien vouloir observer une minute de silence mmes et mm les deputes et les membres du gouvernement se levent et observent une minute de silence la parole est a mme la premiere ministre;israel, civils, otage, otages;;;;;;
0013;Twitter;louisboyard;LFI-NFP;2024-09-24;P4_rafah;;/LouisBoyard/status/1838529875977674945#m;"🇵🇸🇱🇧 Le secrétaire général de l'ONU alerte : « Le Liban ne doit pas devenir « un autre Gaza ».

Depuis la semaine dernière, le gouvernement israélien multiplie les attaques et les bombardements au Liban.

Le bilan s'élève déjà à plus de 500 morts, dont des dizaines d'enfants. 

Pourquoi ce déchainement de violence ? 

Parce que la guerre génocidaire de Netanyahou à Gaza s’embourbe. Là-bas, il ne reste plus que des ruines peuplées par des Palestiniens qui manquent de tout.

Netanyahou a donc besoin d'une nouvelle guerre pour se maintenir au pouvoir. Et il l'a trouvé au Liban. 

Combien de milliers d’innocents va-t-il encore tuer ? 

Depuis bientôt un an, nous le répétons sans cesse : face à la guerre, il n’y a qu’un seul chemin qui mène à la paix et c’est le droit international. 

Force est de constater que les faits nous donnent encore une fois raison : Netanyahou ne veut pas de la paix. Pas plus que ses soutiens en France qui, après avoir applaudi un génocide, préfèrent une guerre totale aux tribunaux internationaux.

lemonde.fr/international/liv…";palestiniens, israelien, israel, gaza, netanyahou, palestinien, gouvernement israelien, droit international, bombardement, onu, genocide, bombardements;;;;;;
0014;Twitter;matthiasrn;RN;2025-01-28;P7_cessez_feu;;/MatthiasRN/status/1884319728539427293#m;"Philippe Carli, patron du groupe de presse Ebra, a démissionné.

Sa faute ?

Avoir ""liké"", sur LinkedIn, des posts de Marion Maréchal et Sarah Knafo.

La police politique de Médiapart a eu sa peau.

Ce pouvoir trotskyste, de pure soumission, est illégitime et scandaleux.";illegitime, legitime;;;;;;
0015;Assemblee;Mme Élisabeth Borne;LFI;2023-10-23;P1_choc;;;au conseil de securite des nations unies la france a soutenu le projet de resolution en faveur d une treve humanitaire a gaza presente par le bresil la ministre de l europe et des affaires etrangeres part ce soir pour new york precisement pour faire avancer les negociations nous appelons a mettre fin le plus vite possible a cette periode de violence la france a toujours soutenu les populations civiles palestiniennes ca ne se voit pas sur les bancs du groupe lfi nupes elle a ainsi fourni en 2022 aux palestiniens pres de 100 millions d euros d aide concentree sur des secteurs vitaux l eau la sante l education et l agriculture face a la situation actuelle comme l a annonce le president de la republique nous avons decide d une aide supplementaire de 10 millions et enverrons prochainement un avion de fret humanitaire pour soutenir la population de gaza en outre l union europeenne est le premier fournisseur d aide humanitaire a la palestine et au sein de l union la france en est l un des premiers contributeurs face a l urgence l union europeenne a repondu present le montant de son aide humanitaire a gaza a ete triple et deux vols ont permis d acheminer plus de 50 tonnes d aide a la frontiere le conseil europeen de cette fin de semaine sera l occasion de revenir sur le sujet et de faire le point sur le soutien que l europe peut apporter puisque j evoque l aide que nous offrons a la population palestinienne de gaza j en profite pour revenir sur certaines questions soulevees ces derniers jours il est legitime de s interroger et de veiller a ce que notre aide humanitaire ne puisse tomber entre de mauvaises mains si elle arrive sur les bancs du groupe lfi nupes;palestiniens, palestiniennes, palestine, gaza, palestinien, palestinienne, treve, legitime, nations unies, aide humanitaire, conseil de securite;;;;;;
0016;Twitter;legavrejerome;LFI-NFP;2023-10-20;P1_choc;;/LegavreJerome/status/1715474252902670363#m;Pour Marine Tondelier, la priorité : taper sur Mélenchon et LFI. Priorité qu’elle partage avec le pouvoir, la droite, le RN, et d’autres… c’est vrai, ce n’est pas comme si un « nettoyage ethnique » dénoncé y compris par l’ONU était en cours à Gaza… Chacun son camp et ses priorités…;gaza, onu;;;;;;
0017;Twitter;ph_schreck;RN;2023-11-11;P2_offensive;;/Ph_Schreck/status/1723356002911662433#m;"Petite idée de l’islamonazisme.
Dans le prolongement de certains intellectuels collabos qui veulent pavoiser la mairie de Marseille du drapeau du Hamas.";hamas;;;;;;
0018;Twitter;caronaymericoff;LFI-NFP;2025-02-15;P7_cessez_feu;;/CaronAymericoff/status/1890709548081537370#m;"À une très grande majorité la rédaction de la chaîne tv France Info réclame le départ du directeur de la chaîne, qui à laissé passer (ou orchestré) des choses inacceptables ces dernières semaines : l’organisation d’un « débat » présentant le nettoyage ethnique à Gaza comme une belle affaire commerciale, ou encore la sanction (laquelle? Licenciement, mise à pied?) contre un red chef dénoncé par une députée porte-parole de Netanyahou.
Le comportement personnel de ce directeur est également mis en cause.
L’information proposée par le service publique doit être honnête et équilibrée, sans influence extérieure.
Ce n’est pas le cas aujourd’hui.";gaza, netanyahou;;;;;;
0019;Twitter;deputee_obono;LFI-NFP;2024-05-08;P4_rafah;;/Deputee_Obono/status/1788326895609586133#m;"🔎7 octobre, guerre à Gaza, (anti)sionisme,  colonisation, libéralisme et racisme en Israël, antisémitisme, Etat binational, Hamas, judéité, femmes palestiniennes, maccarthysme... Riche entretien avec l'historien israélien Shlomo Sand sur @LibreQg 👇🏾
piped.video/NUlzJNvf0RU?feature…";israelien, israel, palestiniennes, gaza, palestinien, hamas, palestinienne, 7 octobre, antisemitisme, sionisme, colonisation;;;;;;
0020;Twitter;portes_thomas;LFI-NFP;2025-08-30;P7_cessez_feu;;/Portes_Thomas/status/1961757433316917366#m;"Tous nos yeux doivent se tourner vers Gaza. 

La phase finale du génocide est en cours. 

Israël s’apprête à raser Gaza. 

Le monde doit se lever pour stopper ce carnage et stopper les génocidaires israéliens.";israelien, israel, israeliens, gaza, genocide;;;;;;
