ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;TEXTE;MOTS_CLES;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0117;Assemblee;Mme Insaf Rezagui;inconnu;2025-01-14;P6_mandats_cpi;je me concentrerai sur l avis consultatif du 19 juillet 2024 rendu par la cour internationale de justice cij qui est riche d enseignements il traite d une part des consequences des politiques menees par israel en palestine en particulier des lois et mesures discriminatoires prises contre les palestiniens d autre part des incidences de ces politiques sur le statut de l occupation et des consequences pour les etats dont la france en ce qui concerne la premiere question la cour souligne le lien entre l occupation par israel du territoire palestinien qui dure depuis cinquante sept ans et sa politique coloniale en violation de l article 49 de la quatrieme convention de geneve qui interdit a la puissance occupante de transferer sa population dans le territoire qu elle occupe or environ 800 000 c...;palestiniens, israelien, israel, israeliens, palestiniennes, palestine, israeliennes, palestinien, palestinienne, israelienne, occupation, solution a deux etats, droit international, civils, cisjordanie, colons, onu, annexion, cij, deux etats, cour internationale de justice, autodetermination, nations unies, colonies, jerusalem;;;;;
0118;Twitter;aurelientache;LFI-NFP;2023-10-30;P1_choc;"🇵🇸 𝗥𝗔𝗦𝗦𝗘𝗠𝗕𝗟𝗘𝗠𝗘𝗡𝗧 𝗣𝗢𝗨𝗥 𝗟𝗘 𝗣𝗘𝗨𝗣𝗟𝗘 𝗣𝗔𝗟𝗘𝗦𝗧𝗜𝗡𝗜𝗘𝗡 📣

On se retrouve à 18h sur le parvis de la préfecture de Cergy pour appeler à la paix, à la fin du massacre du peuple palestinien et à un cessez-le-feu immédiat !";palestinien, massacre, cessez-le-feu;;;;;
0119;Assemblee;M. Aymeric Caron;LFI;2023-10-24;P1_choc;en revanche il a propose que la coalition contre l etat islamique puisse lutter aussi contre le hamas protestations sur les bancs des groupes re lr et rn;hamas;;;;;
0120;Twitter;legavrejerome;LFI-NFP;2025-07-07;P7_cessez_feu;"Ce que dit ici É. Borne revient à dire : « nous n’avons pas assez réprimé les étudiants de sciences Po, de La Sorbonne et d’ailleurs. Il faut aller plus loin ».
Très fier d’appartenir à un groupe parlementaire qui refuse l’instrumentalisation de la lutte contre l’antisémitisme et qui a refusé en bloc une loi liberticide, dont le seul objectif est de vouloir faire taire et mettre au pas ceux qu’indigne l’extermination des palestiniens.";palestiniens, palestinien, antisemitisme;;;;;
0121;Twitter;s_legrain;LFI-NFP;2025-06-11;P7_cessez_feu;"« Retenus en Israël » ? 

Ce message est une honte, tout comme la réponse de Bayrou à @MathildePanot 

Vos seuls mots de condamnation sont pour ceux qui se mobilisent pour que VOUS agissiez. 

Vous laissez Netanyahu vous piétiner, comme vous le laissez génocider les palestiniens.";palestiniens, israel, palestinien, netanyahu, genocide;;;;;
0122;Twitter;frapiquemal;LFI;2025-04-15;P7_cessez_feu;"Un exemple ici du ravage de la pensée unique pro gouvernement d’extrême droite de Netanyahu qui touche ici le droit d’informer librement. 

Soutien aux journalistes qui essaient de faire leur travail dans des médias contaminés par la vague réactionnaire.";netanyahu;;;;;
0123;Twitter;pycadalen;LFI-NFP;2025-06-21;P7_cessez_feu;"It might have been relevant to let Netanyahu's gouvernment know that you think ""dialogue is the only possible way forward"".

And accordingly condemn the preventive and illegal war he engaged.";netanyahu, illegal;;;;;
0124;Twitter;stelladupont;inconnu;2024-03-05;P3_post_cij;"La position de la France est claire : le respect du droit international et l’urgence à préserver la vie des civils Palestiniens, a rappelé la Ministre @CZacharopoulou 
Il faut un cessez-le-feu immédiat ! 
#DirectAN";palestiniens, palestinien, droit international, civils, cessez-le-feu;;;;;
0125;Twitter;carolineyadan;EPR;2024-02-28;P3_post_cij;"Merci à Madame la Ministre @sretailleau pour notre échange de qualité. Nous avons le devoir de lutter contre le poison antisémite présent dans nos universités et grandes écoles, et qui a explosé depuis le 7 octobre.
Vous pouvez compter sur ma détermination et ma mobilisation à vos côtés !";7 octobre, antisemite;;;;;
0126;Assemblee;Mme Constance Le Grip;EPR;2025-06-25;P7_cessez_feu;j ai deux questions a vous poser nos forces armees ont elles pris part d une maniere ou d une autre planification accompagnement aux campagnes de frappes israeliennes et americaines pourriez vous egalement nous dire comment nos militaires ont protege nos nombreuses emprises dans la region et s ils ont ete amenes a participer a la defense de certains pays cibles par les frappes iraniennes enfin je voudrais terminer mon propos en exprimant tout mon soutien toute ma solidarite et toute ma compassion envers le tres grand peuple iranien la situation actuelle a teheran et dans toutes les grandes villes iraniennes est devenue dramatique;israelien, israel, israeliennes, israelienne;;;;;
0127;Twitter;deputee_obono;LFI-NFP;2025-09-19;P7_cessez_feu;"Essayer d'amadouer le bourreau pour qu'il daigne reconnaître à la victime un ersatz de droit d'exister pendant qu'il la violente, ce N'EST PAS aider à la fin du supplice mais la défense du bourreau. Rappelons de quoi on parle quand même.👇🏾
#Gaza #genocide";gaza, genocide;;;;;
0128;Twitter;arnaultraphael;LFI-NFP;2023-11-18;P2_offensive;"Une foule immense (au moins 10 000 personnes) dans la rue à Lyon pour le cessez le feu et la solidarité avec la Palestine 🇵🇸🕊️

Paix et solidarité entre les peuples, partout !";palestine;;;;;
0129;Twitter;faureolivier;PS-NFP;2024-12-23;P6_mandats_cpi;A Gaza, malgré l’espoir d’un cessez-le-feu, Israël poursuit ses frappes – nous ne nous habituons pas. Nous n’oublions pas.  liberation.fr/international/…;israel, gaza, cessez-le-feu;;;;;
0130;Twitter;philippejuvin;LR;2025-04-04;P7_cessez_feu;"Visage masqué, violence verbale, intimidation, censure d’un prof : le fascisme à l’état pur.

Ces petits bourgeois d’une gauche radicale utilisent les mots « islamophobie » et « sioniste »comme totems, pour promouvoir leur haine.

Pourquoi ne sont-ils pas, à minima, exclus ?";islamophobie, sioniste;;;;;
0131;Twitter;portes_thomas;LFI-NFP;2025-05-26;P7_cessez_feu;"MOBILISATION PERMANENTE CONTRE LE GÉNOCIDE À GAZA ! 

RDV CE SOIR À 17H !";gaza, genocide;;;;;
0132;Twitter;arthurdelaporte;PS-NFP;2024-10-21;P5_escalade;"En Italie, où les casinos en ligne ont été autorisés, la part de joueurs ""problématiques"" a bondi de 36% !  Même s'il est possible d'accéder à l'offre illégale, elle reste illégale !";illegal, illegale;;;;;
0133;Twitter;borisvallaud;SOC;2024-08-02;P4_rafah;"Inconcevable ! D'accord avec @MxSauvage, c'est totalement contraire au programme du Nouveau front populaire. 

Un seul chemin vers la paix : reconnaissance des actes terroristes du 7 octobre, cessez-le-feu à Gaza, libération des otages, reconnaissance de l'Etat palestinien.";gaza, palestinien, etat palestinien, 7 octobre, otage, otages, cessez-le-feu;;;;;
0134;Twitter;abomangoli;LFI-NFP;2025-09-24;P7_cessez_feu;"L’électoralisme cynique aujourd’hui quand Gaza est un cimetière.
Les diffamations hier contre les voix de la paix quand il fallait participer aux discours supremacistes des soutiens inconditionnels à Israël.";israel, gaza;;;;;
0135;Twitter;portes_thomas;LFI-NFP;2025-01-20;P7_cessez_feu;"Merci d’en faire l’écho. 
L’humanité à géométrie variable ce mesure encore ce matin à la nouvelle invisibilisation du peuple palestinien.";palestinien;;;;;
0136;Assemblee;Mme Francesca Pasquini;ECO;2023-11-14;P2_offensive;les actes du gouvernement israelien sont en totale contradiction avec la cide que l etat d israel a pourtant ratifiee applaudissements sur les bancs des groupes ecolo nupes lfi nupes et gdr nupes vives exclamations sur plusieurs bancs des groupes rn et lr;israelien, israel, gouvernement israelien;;;;;
0137;Twitter;aurelientache;LFI-NFP;2023-11-14;P2_offensive;Intéressant. Cela bouge partout. #CeasefireInGazaNOW;gaza;;;;;
0138;Twitter;h2lepinau;RN;2024-10-17;P5_escalade;Excellente nouvelle. Ce démon était réputé pour son inhumanité et sa cruauté. Il a été le planificateur des massacres du 7 octobre. Next;7 octobre, massacre;;;;;
0139;Assemblee;Mme Sabrina Sebaihi;ECO;2023-05-04;P0_pre_7oct;j aurais souhaite que nous ayons loin des exces et des anathemes un debat apaise et constructif sur ce sujet o combien symbolique et inflammable au moment ou j ai l honneur de m adresser a vous sur la situation de cette terre trois fois sainte du proche orient il me vient a l esprit les preconisations de victor hugo dites le vrai ne me racontez pas un opprobre notoire comme on raconterait n importe quelle histoire au fond la question qui nous est posee par cette resolution est aussi terrible que simple comment caracteriser a la fois politiquement et juridiquement la situation subie par le peuple palestinien on nous oppose aujourd hui un debat semantique en nous disant en substance que le terme apartheid n est pas le bon car il se rapporte a une situation historico geographique precise a sa...;palestinien;;;;;
0140;Twitter;caronaymericoff;LFI-NFP;2023-11-14;P2_offensive;"Ce que je ne remets évidemment nullement en cause, pas plus que l’horreur des actes terroristes que l’on y voit, qui sont insupportables, comme je l’explique par ailleurs.
Le tweet de LCP est sciemment trompeur, en coupant une de mes phrases dans un débat consacré à « la guerre des images ».
Dans cette séquence je demande que les députés puissent avoir une projection des images venues de toutes les parties du conflit, car la projection a été organisée par un député pro-Netanyahou, dans un but po...";israelien, israel, gaza, netanyahou, israelienne, armee israelienne;;;;;
0141;Twitter;ersiliasoudais;LFI-NFP;2023-12-17;P2_offensive;"Madame la Ministre, vous êtes au courant qu'un agent du Quai d'Orsay a été tué sous les bombardements israéliens ?
Vous vivez dans la 4e dimension...
Cessez, s'il vous plaît, de parler du ""droit d'Israël à se défendre"", qui ne repose sur aucun fondement juridique.";israelien, israel, israeliens, bombardement, quai d'orsay, bombardements;;;;;
0142;Assemblee;M. Benjamin Saint-Huile;LIOT;2023-05-04;P0_pre_7oct;c est parce que l etat francais reconnait depuis toujours l etat d israel parce que nous sommes des etats amis parce que nous voulons que la france joue un role de mediateur dans le conflit israelo palestinien parce que nous sommes attaches aux droits humains et parce que nous travaillons depuis longtemps avec l autorite palestinienne qu il est de notre responsabilite de porter un regard de clarte et de sagesse la resolution utilise le terme d apartheid un terme brutal issu de l histoire de l afrique du sud la question est de savoir s il est acceptable ce terme est repris a l echelle internationale par la convention de 1973 il est defini il n est donc pas tabou il faut pouvoir en discuter les faits sont constates la colonisation des territoires palestiniens condamnee par le conseil de secu...;palestiniens, israelien, israel, palestine, gaza, palestinien, palestinienne, israelienne, occupation, cisjordanie, onu, autorite palestinienne, knesset, colonisation, territoires palestiniens, conseil de securite;;;;;
0143;Twitter;nathalieoziol;LFI-NFP;2024-10-30;P5_escalade;"🔴 « Bannir l’@UNRWA, c’est condamner à mort dans des souffrances abominables le peuple palestinien et les travailleurs humanitaires, dont 231 ont été tués par l’armée israélienne.
La France ne peut pas tolérer que soit ainsi piétiné le droit international au Proche-Orient! »

👉 Ma question au gouvernement sur la situation au Liban et à Gaza";israelien, israel, gaza, palestinien, israelienne, armee israelienne, droit international, unrwa;;;;;
0144;Assemblee;Mme Catherine Colonna;LFI;2023-12-19;P2_offensive;en israel outre les entretiens politiques que j ai eus je me suis rendue au centre d identification des victimes des attentats terroristes du 7 octobre la realite est glacante c est celle d une barbarie sans nom qui a vise principalement des femmes et en grand nombre presque toutes mutilees profanees defigurees rien ne peut justifier cela rien ne justifie jamais le terrorisme n oublions pas le 7 octobre applaudissements sur les bancs des groupes re lr dem et hor;israel, 7 octobre;;;;;
0145;Assemblee;M. Stéphane Séjourné;REN;2024-03-12;P3_post_cij;nous l avons dit et repete dans cet hemicycle les populations civiles de gaza manquent de tout eau nourriture medicaments cette situation est elle justifiable non evidemment;gaza;;;;;
0146;Twitter;portes_thomas;LFI-NFP;2024-10-29;P5_escalade;"Hasan, 5 ans, risque de mourir s’il ne reçoit pas une greffe osseuse pour stopper l’entérovirus logé dans son cerveau. Son papa et sa sœur, qui peuvent être les donneurs, sont bloqués sous les bombes israéliennes à Khan Younès. 
Monsieur le ministre @jnbarrot la diplomatie française doit agir sans attendre pour sortir sa famille de la bande de Gaza et lui offrir une chance de vivre.";israelien, israel, gaza, israeliennes, israelienne, bande de gaza;;;;;
0147;Twitter;paulvannierfi;LFI;2025-07-28;P7_cessez_feu;"Deux députées françaises, @emma_frr et @GabrielleCthl, ont été kidnappées par l’armée génocidaire d’Israel alors qu’elles apportaient de la nourriture à Gaza. 

Elles sont actuellement détenues illégalement.

Aucune réaction du macroniste @jnbarrot qui fait office de ministre des affaires étrangères à la France.";israel, gaza, illegal, illegale;;;;;
0148;Assemblee;M. Aymeric Caron;LFI;2023-05-04;P0_pre_7oct;parce que nous partageons le constat general etabli par le texte et parce que nous jugeons indispensable la reprise d un processus actif de negociations pour qu israeliens et palestiniens puissent vivre en paix en securite et a egalite de droits nous voterons en faveur de cette proposition de resolution applaudissements sur les bancs des groupes lfi nupes et gdr nupes ainsi que sur plusieurs bancs du groupe ecolo nupes plusieurs deputes du groupe lfi nupes se levent pour applaudir;palestiniens, israelien, israel, israeliens, palestinien;;;;;
0149;Twitter;marchiomatthieu;RN;2025-06-15;P7_cessez_feu;"🇫🇷 La République prise en otage.

Lors d’une manifestation pro-palestinienne, la place de la République à Paris une nouvelle fois a été vandalisée.

🛑 Rien ne justifie ces dégradations !";palestinien, palestinienne, otage;;;;;
0150;Assemblee;Mme Soumya Bourouaha;GDR;2024-02-07;P3_post_cij;l horreur de ces vies brisees ne peut justifier ce qu il se passe actuellement a gaza avec une delegation de parlementaires et d elus locaux nous nous sommes rendus a rafah a la frontiere de gaza en egypte les temoignages que nous avons entendus sont bouleversants et je voudrais vous faire part de ce que vit la population gazaouie a l hopital al ashrif des meres et des enfants m ont raconte comment blesses ils ont marche pendant des jours pour se rendre a la frontiere egyptienne et y etre soignes nous avons entendu les temoignages d humanitaires dont raphael pitti ils racontent le sort de ces civils qui n ont plus de quoi se nourrir plus d endroit ou se refugier ni d hopitaux ou se faire soigner la bande de gaza est un champ de ruines ou la population vit recluse sur 34 kilometres carres i...;gaza, bande de gaza, civils, rafah;;;;;
0151;Assemblee;Mme la présidente;Pr?sidence;2025-11-27;P7_cessez_feu;prochaine seance cet apres midi a quinze heures discussion de la proposition de loi visant a la nationalisation d arcelormittal france afin de preserver la souverainete industrielle de la france discussion de la proposition de loi visant a defiscaliser les pensions alimentaires percues et a lutter contre la precarite des familles monoparentales discussion de la proposition de loi visant a garantir la gratuite totale des parkings des etablissements publics de sante discussion de la proposition de resolution invitant le gouvernement a prendre toutes les mesures necessaires pour faire respecter le droit international dont le droit a l autodetermination du peuple palestinien condition necessaire a l etablissement d une paix juste et durable au proche orient discussion de la proposition de loi ...;palestinien, droit international, autodetermination;;;;;
0152;Twitter;constancelegrip;EPR;2025-01-15;P7_cessez_feu;Grande émotion à l'annonce de l'accord entre Israël et le Hamas pour la libération de 33 otages 🎗️ et d'un cessez-le-feu à Gaza. Un espoir se lève. Nos 2 compatriotes seront-ils libérés ? Nous pensons à leurs familles, mais aussi aux enfants, aux femmes, aux personnes malades. 🎗️;israel, gaza, hamas, otage, otages, cessez-le-feu;;;;;
0153;Twitter;faureolivier;PS-NFP;2024-04-27;P3_post_cij;Donc on accepte les bombes venues d’outre-atlantique pour bombarder Gaza mais pas la demande de cessez le feu portée par les étudiants américains ?;gaza;;;;;
0154;Twitter;caronaymericoff;LFI-NFP;2023-11-17;P2_offensive;"LCP organisait un débat sur le thème « Israël/Hamas : qui va remporter la guerre des images ? », après la diffusion à l’Assemblée du film des atrocités du Hamas le 7 octobre.
Sur Twitter certains de mes propos en ont été extirpés et volontairement coupés pour en déformer le sens.

Cette entreprise malveillante fait précisément partie de la guerre de communication actuellement en cours, où les partisans du camp de la paix sont particulièrement ciblés.

Voici donc la réalité de mes interventions d...";israel, gaza, hamas, 7 octobre, bombardement;;;;;
0155;Twitter;caroiteleonore;inconnu;2024-05-29;P4_rafah;"Après le bombardement israélien sur un camp de réfugiés à #Rafah, nous appelons la communauté internationale à mettre en œuvre un cessez-le-feu immédiat et permanent. 
 
👉🏼 Lire notre tribune : shorturl.at/sDRx7";israelien, israel, bombardement, cessez-le-feu, rafah;;;;;
0156;Twitter;diaz_edwige;RN;2025-11-27;P7_cessez_feu;"🏛️ Sans surprise, la niche parlementaire de La France insoumise n’est qu’une litanie d’attaques haineuses, infondées et illégitimes.

🇫🇷 Nos compatriotes ultramarins savent, eux, qui les défend réellement. Et c’est pour cela qu’ils votent massivement pour @MLP_officiel !";illegitime, legitime;;;;;
0157;Assemblee;Mme Sandra Regol;ECO-NFP;2025-05-06;P7_cessez_feu;car la definition du sionisme qu emploie le gouvernement israelien n est pas celle des manifestants qui defilent par dizaines de millions dans les rues de tel aviv et dans tout le territoire d israel pour contester la definition meme de ce que doit etre ce pays applaudissements sur les bancs des groupes ecos et lfi nfp bref s agissant du sous amendement no 93 de m portier je m interroge je remercie d abord mme la rapporteure d avoir rappele qu il n appartenait pas aux legislateurs ni au gouvernement de decider du contenu des formations academiques ce n est pas a nous de le decider car il y a dans ce pays une liberte de la recherche nous ne sommes pas encore aux etats unis de donald trump deuxiemement qu est ce qui se cache derriere ce sous amendement la defiance envers les chercheurs enver...;israelien, israel, gouvernement israelien, tel aviv, sionisme;;;;;
0158;Twitter;louisboyard;LFI-NFP;2024-10-05;P5_escalade;"🇱🇧🇵🇸 Aujourd’hui en manifestation de soutien aux peuples libanais et palestinien.

Le cessez le feu doit être obtenu. La France doit cesser de vendre des armes à Israël.

Le 8 Octobre, nous dresserons leurs drapeaux n’en déplaise à l’interdiction du ministre des universités.";israel, palestinien;;;;;
0159;Assemblee;M. Olivier Faure;SOC;2023-05-04;P0_pre_7oct;essayez parfois d etre un peu au niveau applaudissements sur les bancs des groupes soc et lfi nupes exclamations sur les bancs du groupe rn nous n approuverons pas cette proposition de resolution parce que comme l a dit jerome guedj il ne s agit pas d apartheid je rappelle qu en israel les citoyens arabes israeliens ont les memes droits que les citoyens juifs israeliens qu il n y a pas de distinction operee entre les uns et les autres meme si je reconnais que le debat sur ce point existe qu il est entretenu non pas uniquement par le groupe communiste mais aussi en israel par des juifs israeliens que certains n aillent pas chercher noise en pretextant que ce debat n existerait nulle part ailleurs qu ici et qu il doit donc avoir lieu la qualification d apartheid conduit a l evidence a une es...;palestiniens, israelien, israel, israeliens, palestinien;;;;;
0160;Twitter;e_fouquart;inconnu;2023-10-13;P1_choc;Vous faites vomir 🤢 les Français. Fermez votre gueule. Ce sont vos amis du #Hamas qui ont appelé au djihad aujourd’hui;hamas;;;;;
0161;Twitter;clairemlejeune;LFI-NFP;2024-05-28;P4_rafah;"A #Rafah des corps calcinés, des enfants décimés, l'essence du droit international piétiné.

Ils n'ont que des mots creux, de la petite discipline face à ce que @sebastiendelogu leur met sous les yeux :un peuple 🇵🇸 attaqué en tant que peuple par l'armée genocidaire.

Honte à eux!";droit international, rafah;;;;;
0162;Twitter;carolineyadan;EPR;2024-09-25;P4_rafah;"Merci à @NKassianides , Consul général de France à Jérusalem pour son accueil.

Nous avons évoqué différents sujets de préoccupations pour les Français établis en Israël : simplification administrative pour les étudiants et retraités, mise en place de fonds d'aides sociales et psychologiques, soutien au financement des organismes locaux de solidarité.

Je me suis engagée pleinement à faire avancer ces dossiers en collaboration avec le Consulat.";israel, occupation, jerusalem;;;;;
0163;Twitter;dubymuller;LR;2023-10-27;P1_choc;J’ai participé au rassemblement demandant la libération immédiate des otages français et israéliens détenus par les terroristes du Hamas. dlvr.it/Sy2fhS;israelien, israel, israeliens, hamas, otage, otages;;;;;
0164;Twitter;alma_dufour;LFI-NFP;2024-05-21;P4_rafah;"Soutien du bout des lèvres. 
Le Ministre des affaires étrangères reçoit aujourd’hui le ministre israélien Katz qui défend  la colonisation en Cisjordanie. Quand la France adoptera enfin des sanctions économiques pour faire cesser le génocide, elle aura joué son rôle. Pas avant.";israelien, israel, cisjordanie, genocide, colonisation;;;;;
0165;Assemblee;Mme Marianne Maximi;LFI-NFP;2024-12-03;P6_mandats_cpi;combien de temps encore laisserez vous prosperer cette entreprise de destruction methodique d un peuple d une culture et d un territoire applaudissements sur les bancs du groupe lfi nfp combien de temps encore accompagnerez vous le deluge de mensonges et de desinformation qui visent a dissimuler les crimes commis au sein des territoires palestiniens quand la france parlera t elle enfin d une seule voix et s engagera t elle a appliquer les mandats de la cour penale internationale a l encontre de benyamin netanyahou notamment les deputes du groupe lfi nfp se levent et applaudissent;palestiniens, netanyahou, palestinien, territoires palestiniens, cour penale internationale;;;;;
0166;Assemblee;Mme Prisca Thevenot;REN;2024-01-16;P2_offensive;la france accorde evidemment un soin particulier au choix des projets de solidarite internationale qu elle finance chaque contribution doit etre pleinement conforme a notre legislation et en coherence avec les valeurs que nous defendons en particulier notre engagement ferme dans la lutte contre l antisemitisme toutes les formes d antisemitisme et contre le terrorisme les autorites francaises veillent en particulier a ce que ces financements ne soient pas detournes de leur objet et de leur cible il s agit de promouvoir une culture de paix et la defense des droits de l homme une solution juste et durable au conflit israelo palestinien dans le cadre du droit international depuis 2018 le centre de crise et de soutien cdcs a applique une politique d exigence renforcee a l egard de ses partenair...;israel, palestinien, antisemitisme, droit international;;;;;
0167;Assemblee;Mme Mathilde Panot;LFI;2024-05-07;P4_rafah;les convois de l onu sont interdits d entree a gaza;gaza, onu;;;;;
0168;Twitter;nathalieoziol;LFI-NFP;2023-10-11;P1_choc;"Absolument!
Le gouvernement israélien organise le « siège total » de Gaza, ce qui est contraire au droit international.
Nous refusons d’obéir à Macron, par la voix de la présidente de l’Assemblée nationale, qui demandent un « soutien inconditionnel » au gouvernement israélien";israelien, israel, gaza, siege, gouvernement israelien, droit international;;;;;
0169;Twitter;p_brun;PS-NFP;2023-10-12;P1_choc;Israël a le droit, et même le devoir, de se protéger du terrorisme. Mais un pays démocratique ne peut sous aucun prétexte bombarder indistinctement les populations civiles.;israel;;;;;
0170;Twitter;borisvallaud;SOC;2025-04-10;P7_cessez_feu;"Je salue l'annonce d'Emmanuel Macron, voilà longtemps que nous demandons la reconnaissance de l’Etat palestinien.

Nous plaidons pour une solution à deux Etats et donc la reconnaissance de deux Etats.

Nous devons avoir qu’un camp, celui de la paix.";palestinien, etat palestinien, solution a deux etats, deux etats;;;;;
0171;Assemblee;M. Jean-Charles Larsonneur (NI);NI;2024-03-12;P3_post_cij;je vous ai ecoutes avec attention c est avec gravite et non sans une certaine colere rentree que je m adresse a vous il y a en effet quelque chose de presque anachronique a tenir ce debat sur un accord de securite avec l ukraine aujourd hui 12 mars 2024 ou etions nous au debut de l invasion en 2022 ou etions nous au printemps 2014 alors que le regime mafieux de moscou annexait le donbass et la crimee et que nous tergiversions encore sur le fait de lui ceder des batiments de guerre de type mistral ou etions nous pendant l euromaidan alors que la jeunesse ukrainienne scandait son envie d europe ou etions nous pendant toutes ces annees de 2007 a 2012 alors que nous negociions un accord d association entre l union europeenne et l ukraine des cette epoque les menaces de l autocrate du kremlin e...;israel, gaza, crimes de guerre;;;;;
0172;Assemblee;Mme Mathilde Panot;LFI;2023-10-23;P1_choc;les temps tragiques que nous traversons appellent a avoir le courage de la paix et a ne pas ceder a l escalade meurtriere de la guerre exclamations sur quelques bancs des groupes re lr dem et hor au lieu de faire preuve de ce courage vous avez affiche un soutien inconditionnel au gouvernement d extreme droite israelien vous avez dit qu israel avait le droit de se defendre applaudissements sur plusieurs bancs du groupe lfi nupes exclamations sur plusieurs bancs des groupes re lr dem et hor depuis quelques jours devant l horreur de la punition collective infligee a l ensemble de la population palestinienne vous avez ajoute qu israel devait cependant respecter le droit international applaudissements sur de nombreux bancs du groupe lfi nupes;israelien, israel, palestinien, palestinienne, droit international;;;;;
0173;Twitter;hendrik_davi;ECO-NFP;2023-06-17;P0_pre_7oct;Retour en images sur notre visite hier de la déchèterie industrielle de St Chamas qui a brûlé en 2021 et pour laquelle l’Etat refuse d’évacuer les déchets !;hamas;;;;;
0174;Assemblee;M. Louis Boyard;LFI-NFP;2025-07-02;P7_cessez_feu;et vous en inspirez d autres valerie pecresse retire la subvention de sa region a sciences po parce que les etudiants se mobilisent contre le genocide en palestine laurent wauquiez retire la subvention de sa region a l universite lyon 2 parce que les etudiants se mobilisent contre le genocide en palestine cela ne vous rappelle pas quelqu un ce sont exactement les memes methodes que donald trump utilise contre l universite de harvard applaudissements sur les bancs du groupe lfi nfp parce que les etudiants se mobilisent contre le genocide en palestine;palestine, genocide;;;;;
0175;Assemblee;M. Olivier Becht;EPR;2023-11-28;P2_offensive;permettez moi de nouveau d excuser l absence de la ministre de l europe et des affaires etrangeres retenue par une reunion ministerielle de l otan comme vous je me rejouis du retour des trois enfants que vous avez evoques erez sahar et eitan neanmoins notre joie est contenue nous pensons toujours aux cinq francais portes disparus qui sont probablement encore otages du hamas;hamas, otage, otages;;;;;
0176;Assemblee;M. Jean-Paul Lecoq;GDR;2024-01-16;P2_offensive;vous pourriez en dire autant au depute du groupe renaissance qui a affirme tout a l heure que l aide au developpement avait finance les tunnels du hamas dans la bande de gaza;gaza, hamas, bande de gaza;;;;;
0177;Assemblee;M. Didier Paris;REN;2023-10-10;P1_choc;les deux projets de loi soumis a notre approbation concretisent un effort tout bonnement historique en faveur de la justice de notre pays a l effort budgetaire et humain que jean terlier vient de detailler tres clairement s ajoute la volonte de donner de la respiration aux juridictions de liberer les modes de decision et de gouvernance de limiter une centralisation trop souvent excessive et d inscrire la justice dans le numerique en reduisant l ecart avec d autres professions du droit en particulier celle des avocats un effort est aussi mene pour adapter nos procedures penales ou civiles le texte allant jusqu a lever definitivement les derniers freins a la competence universelle des juridictions francaises en matiere de crimes de guerre et de crimes contre l humanite avancee dont les evene...;israel, crimes de guerre;;;;;
0178;Twitter;mathildepanot;LFI-NFP;2025-06-12;P7_cessez_feu;"Rima Hassan est libre 💚

La mobilisation continue pour la libération de Yanis Mhamdi et Pascal Maurieras. Elle continue surtout pour mettre fin au génocide à Gaza ! Il y aura autant de bateaux que nécessaire pour briser le blocus illégal.

Rendez-vous samedi 14 juin dans les rues ✊";gaza, illegal, genocide, blocus;;;;;
0179;Twitter;caroiteleonore;inconnu;2025-09-22;P7_cessez_feu;🇺🇳🌍 À #NewYork pour la 80ᵉ Assemblée générale des #NationsUnies. La #France est en première ligne pour porter deux avancées majeures : la reconnaissance de l’État de #Palestine et la ratification du traité #BBNJ.;palestine;;;;;
0180;Assemblee;M. François Cormier-Bouligeon;EPR;2024-11-05;P5_escalade;qu ils fassent la meme chose avec les membres du hamas;hamas;;;;;
0181;Twitter;carolineyadan;EPR;2024-05-24;P4_rafah;"Des otages sont morts, violés, assassinés, mutilés par des barbares assoiffés de sang.

Je suis en colère.

Contre ces ordures prétendument défenseurs des « droits humains » et qui deviennent sourds et muets quand il s’agit de victimes israéliennes et juives;
Contre ces nations qui se rangent en définitive aux côtés du Hamas, mouvement terroriste qui se réjouit et les félicite de leurs prises de position et de leurs déclarations;
Contre ces idiots utiles, qui ont oublié le 7 octobre et qui n’ont...";israelien, israel, israeliennes, hamas, israelienne, 7 octobre, antisemitisme, otage, otages;;;;;
0182;Twitter;nicolasbonnet63;inconnu;2024-12-05;P6_mandats_cpi;"Au rassemblement organisé par @ConfPaysanne contre la spéculation, les accords de libre-échange et pour un meilleur revenu des agriculteurs.

La répression brutale et disproportionnée était intolérable. Les citoyens protestaient pacifiquement.

@BrunoRetailleau
@prefpolice";disproportionnee, disproportionne;;;;;
0183;Assemblee;Mme Sabrina Sebaihi;ECO;2024-06-04;P4_rafah;tout d abord permettez moi de deplorer ce matin l annonce de la mort de quatre nouveaux otages portant a quarante trois le nombre d otages morts dans la bande de gaza nous souhaitons leur rendre hommage applaudissements sur les bancs du groupe ecolo nupes et sur quelques bancs des groupes lfi nupes soc et gdr nupes ayons une pensee pour ceux qui sont encore retenus deux d entre eux sont des compatriotes francais jusqu ou ira la strategie du massacre et de la riposte aveugle la strategie de la terre brulee de celui que notre president appelle cher ami bibi netanyahou et de son gouvernement d extreme droite ce cher bibi avec lequel m sejourne posait fierement;gaza, netanyahou, bande de gaza, otage, otages, massacre;;;;;
