ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;TEXTE;MOTS_CLES;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0012;Assemblee;Mme la présidente;Pr?sidence;2023-10-10;P1_choc;horreur sideration angoisse le monde est aujourd hui en etat de choc devant la violence de l attaque terroriste qui a frappe israel face a cette barbarie je veux redire ici qu israel est un pays ami a qui je reaffirme au nom de la representation nationale notre totale solidarite et notre soutien inconditionnel applaudissements prolonges sur les bancs des groupes re rn lr dem soc hor ecolo nupes gdr nupes et liot ainsi que sur quelques bancs du groupe lfi nupes de nombreux deputes des groupes rn et lr huent leurs collegues qui n applaudissent pas tous les deputes se levent les deputes des groupes re rn lr dem soc hor ecolo nupes gdr nupes et liot applaudissent longuement a l heure ou nous parlons les combats se poursuivent et le nombre de victimes ne cesse de s alourdir nous pleurons egalem...;israel, civils, otage, otages;;;;;
0013;Twitter;louisboyard;LFI-NFP;2024-09-24;P4_rafah;"🇵🇸🇱🇧 Le secrétaire général de l'ONU alerte : « Le Liban ne doit pas devenir « un autre Gaza ».

Depuis la semaine dernière, le gouvernement israélien multiplie les attaques et les bombardements au Liban.

Le bilan s'élève déjà à plus de 500 morts, dont des dizaines d'enfants. 

Pourquoi ce déchainement de violence ? 

Parce que la guerre génocidaire de Netanyahou à Gaza s’embourbe. Là-bas, il ne reste plus que des ruines peuplées par des Palestiniens qui manquent de tout.

Netanyahou a donc beso...";palestiniens, israelien, israel, gaza, netanyahou, palestinien, gouvernement israelien, droit international, bombardement, onu, genocide, bombardements;;;;;
0014;Twitter;matthiasrn;RN;2025-01-28;P7_cessez_feu;"Philippe Carli, patron du groupe de presse Ebra, a démissionné.

Sa faute ?

Avoir ""liké"", sur LinkedIn, des posts de Marion Maréchal et Sarah Knafo.

La police politique de Médiapart a eu sa peau.

Ce pouvoir trotskyste, de pure soumission, est illégitime et scandaleux.";illegitime, legitime;;;;;
0015;Assemblee;Mme Élisabeth Borne;LFI;2023-10-23;P1_choc;au conseil de securite des nations unies la france a soutenu le projet de resolution en faveur d une treve humanitaire a gaza presente par le bresil la ministre de l europe et des affaires etrangeres part ce soir pour new york precisement pour faire avancer les negociations nous appelons a mettre fin le plus vite possible a cette periode de violence la france a toujours soutenu les populations civiles palestiniennes ca ne se voit pas sur les bancs du groupe lfi nupes elle a ainsi fourni en 2022 aux palestiniens pres de 100 millions d euros d aide concentree sur des secteurs vitaux l eau la sante l education et l agriculture face a la situation actuelle comme l a annonce le president de la republique nous avons decide d une aide supplementaire de 10 millions et enverrons prochainement un av...;palestiniens, palestiniennes, palestine, gaza, palestinien, palestinienne, treve, legitime, nations unies, aide humanitaire, conseil de securite;;;;;
0016;Twitter;legavrejerome;LFI-NFP;2023-10-20;P1_choc;Pour Marine Tondelier, la priorité : taper sur Mélenchon et LFI. Priorité qu’elle partage avec le pouvoir, la droite, le RN, et d’autres… c’est vrai, ce n’est pas comme si un « nettoyage ethnique » dénoncé y compris par l’ONU était en cours à Gaza… Chacun son camp et ses priorités…;gaza, onu;;;;;
0017;Twitter;ph_schreck;RN;2023-11-11;P2_offensive;"Petite idée de l’islamonazisme.
Dans le prolongement de certains intellectuels collabos qui veulent pavoiser la mairie de Marseille du drapeau du Hamas.";hamas;;;;;
0018;Twitter;caronaymericoff;LFI-NFP;2025-02-15;P7_cessez_feu;"À une très grande majorité la rédaction de la chaîne tv France Info réclame le départ du directeur de la chaîne, qui à laissé passer (ou orchestré) des choses inacceptables ces dernières semaines : l’organisation d’un « débat » présentant le nettoyage ethnique à Gaza comme une belle affaire commerciale, ou encore la sanction (laquelle? Licenciement, mise à pied?) contre un red chef dénoncé par une députée porte-parole de Netanyahou.
Le comportement personnel de ce directeur est également mis en ...";gaza, netanyahou;;;;;
0019;Twitter;deputee_obono;LFI-NFP;2024-05-08;P4_rafah;"🔎7 octobre, guerre à Gaza, (anti)sionisme,  colonisation, libéralisme et racisme en Israël, antisémitisme, Etat binational, Hamas, judéité, femmes palestiniennes, maccarthysme... Riche entretien avec l'historien israélien Shlomo Sand sur @LibreQg 👇🏾
piped.video/NUlzJNvf0RU?feature…";israelien, israel, palestiniennes, gaza, palestinien, hamas, palestinienne, 7 octobre, antisemitisme, sionisme, colonisation;;;;;
0020;Twitter;portes_thomas;LFI-NFP;2025-08-30;P7_cessez_feu;"Tous nos yeux doivent se tourner vers Gaza. 

La phase finale du génocide est en cours. 

Israël s’apprête à raser Gaza. 

Le monde doit se lever pour stopper ce carnage et stopper les génocidaires israéliens.";israelien, israel, israeliens, gaza, genocide;;;;;
0021;Twitter;clemence_guette;LFI-NFP;2024-05-29;P4_rafah;"En Macronie c’est le règne de l’arbitraire, de la censure, des copinages, et du deux poids, deux mesures.

Pourquoi ce qui s’est passé hier à l’Assemblée est un scandale ? 

Le soutien inconditionnel au massacre à Gaza, est apparu au grand jour, dans toute son horreur. ⤵️";gaza, massacre;;;;;
