id,source,depute_name,date,period,groupe_politique,text,keyword_matches,stance,intensity,target,frame,confidence,notes
11,assemblee_nationale,Mme Gabrielle Cathala,2025-10-29,P7_cessez_feu,LFI-NFP,monsieur le premier ministre l entreprise genocidaire de netanyahou se poursuit si le cessez le feu a heureusement permis aux familles israeliennes de retrouver leurs proches retenus en otage l enfer des bombardements a repris pour les palestiniens depuis le 11 octobre 211 d entre eux ont ete assassines et 46 enfants la nuit derniere la famine fait des ravages touchant un demi million de palestiniens les camions d aide humanitaire entrent au compte goutte et les activites de l unrwa sont toujours bloquees par des lois votees par la knesset ce meme parlement qui a vote deux textes validant l annexion de la cisjordanie et que fait la france en dociles vassaux des etats unis vous souscrivez au plan colonial de donald trump un plan de promotion immobiliere au service de son gendre et des seuls interets israeliens un plan qui ne laisse aucune place a l autodetermination d un peuple un plan impose aux palestiniens sans meme les consulter applaudissements sur les bancs du groupe lfi nfp m jean victor castor applaudit egalement vos communiques faussement indignes couvrent notre pays de ridicule la france condamne dites vous en y ajoutant parfois avec la plus grande fermete,"['palestiniens' 'israelien' 'israel' 'israeliens' 'israeliennes'
 'netanyahou' 'palestinien' 'israelienne' 'famine' 'bombardement'
 'cisjordanie' 'otage' 'annexion' 'knesset' 'autodetermination' 'unrwa'
 'aide humanitaire' 'bombardements']",,,,,,
12,assemblee_nationale,M. Louis Boyard,2025-07-02,P7_cessez_feu,LFI-NFP,et vous en inspirez d autres valerie pecresse retire la subvention de sa region a sciences po parce que les etudiants se mobilisent contre le genocide en palestine laurent wauquiez retire la subvention de sa region a l universite lyon 2 parce que les etudiants se mobilisent contre le genocide en palestine cela ne vous rappelle pas quelqu un ce sont exactement les memes methodes que donald trump utilise contre l universite de harvard applaudissements sur les bancs du groupe lfi nfp parce que les etudiants se mobilisent contre le genocide en palestine,['palestine' 'genocide'],,,,,,
13,assemblee_nationale,Mme Gabrielle Cathala,2025-11-13,P7_cessez_feu,LFI-NFP,ce que nous venons d entendre de la part de mme yadan illustre bien ses traditionnelles prises de parole racistes et vous alors sur les bancs du groupe rn et pathetiques des qu il s agit du peuple palestinien applaudissements sur les bancs du groupe lfi nfp les engagements internationaux de la france l obligent a respecter la convention pour la prevention et la repression du crime de genocide de 1948 le statut de rome etablissant la cour penale internationale cpi memes mouvements et la commission d enquete internationale independante du conseil des droits de l homme cdh de l onu qui a etabli que quatre des cinq criteres d un genocide etaient reunis mais elle pratique une politique de deux poids deux mesures permanente comme lorsque m macron lui meme repond a m meyer habib pour lui indiquer que le salon milipol pourra accueillir dans quelques jours trente huit exposants israeliens en depit de tous les engagements pris par notre pays applaudissements sur plusieurs bancs du groupe lfi nfp comme lorsqu un colloque est interdit par le ministre de l enseignement superieur tandis qu un autre au senat est organise par elnet et finance par le gouvernement de m netanyahou le temps de parole etant ecoule mme la presidente coupe le micro de l oratrice les deputes du groupe lfi nfp applaudissent cette derniere,"['israelien' 'israel' 'israeliens' 'netanyahou' 'palestinien' 'cpi' 'onu'
 'genocide' 'cour penale internationale']",,,,,,
14,assemblee_nationale,M. Laurent Saint-Martin,2025-06-24,P7_cessez_feu,LFI-NFP,nous le disons tres clairement comme vous nous refusons que l iran mene a bien son programme nucleaire et balistique mais la france a aussi le courage de dire que la voie militaire ne suffit pas il faut aussi et d abord passer par la voie de la negociation cette voie diplomatique que vous denigrez la france l a fait avec succes quand elle a permis d aboutir a un encadrement du programme nucleaire iranien vous avez donc raison la france defend avec constance le respect du droit international elle assure aussi avec constance la protection de ses ressortissants quand vous denigrez notre diplomatie vous denigrez tous ceux qui travaillent a tel aviv a teheran mais aussi dans les pays voisins pour proteger nos ressortissants applaudissements sur les bancs du groupe epr ainsi que sur plusieurs bancs des groupes dr et dem le premier avion en provenance d amman est arrive dimanche dernier avec 180 de nos ressortissants a son bord ce matin un avion militaire a400m a destination de chypre a decolle de l aeroport ben gourion de tel aviv et atterrira ce soir en france nous protegeons notre population tout en defendant les peuples et le droit international la voila notre constance applaudissements sur les bancs du groupe epr et sur quelques bancs du groupe dem m vincent jeanbrun applaudit egalement,['droit international' 'tel aviv'],,,,,,
15,assemblee_nationale,Mme Mathilde Panot,2025-10-29,P7_cessez_feu,LFI-NFP,et les bombardements de cette nuit cent palestiniens ont ete tues,['palestiniens' 'palestinien' 'bombardement' 'bombardements'],,,,,,
16,assemblee_nationale,Mme Mathilde Panot,2025-09-08,P7_cessez_feu,LFI-NFP,en face du macronisme a l extreme droite tous s accordent sur la destruction des conquetes sociales les politiques climaticides le statu quo sur la ve republique le tout securitaire et le consensus islamophobe l alliance entre macronie et lepenie contre le progres social humain s incarne au ministere de l interieur en un an bruno retailleau aura trouve plus de temps pour tweeter sur chaque depute insoumis que pour reagir aux meurtres d aboubakar cisse de hichem miraoui ou de djamel bendjaballah par l extreme droite quelle honte et huees sur les bancs du groupe lfi nfp dont les deputes se levent et applaudissent applaudissements sur plusieurs bancs du groupe ecos quand il s agit d un defile de neonazis de l agression par des fascistes du compagnon d un depute d une chasse aux personnes noires dans la creuse ou encore des soixante dix feminicides perpetres sous son mandat aucune trace de gesticulations de sa part la ruine que vous avez produite n est pas uniquement economique elle est aussi morale a l international la voix de la france ne porte plus france diplomatie a laisse place a france incantation l abominable genocide perpetre par l armee israelienne a gaza ne rencontre aucun obstacle du cote de la france qui vient encore de livrer des dizaines de millions d euros d armes a un etat dirige par des criminels de guerre applaudissements sur plusieurs bancs du groupe lfi nfp,"['israelien' 'israel' 'gaza' 'israelienne' 'armee israelienne'
 'islamophobe' 'genocide']",,,,,,
17,assemblee_nationale,Mme Mathilde Panot,2025-05-06,P7_cessez_feu,LFI-NFP,ni le jeu de cartes antisemite fabrique par la meme organisation a strasbourg c est pire que de tordre les faits vous instrumentalisez l antisemitisme pour faire taire les voix en faveur de la paix qui denoncent le genocide en palestine,['palestine' 'antisemitisme' 'antisemite' 'genocide'],,,,,,
18,assemblee_nationale,Mme Clémence Guetté,2025-06-25,P7_cessez_feu,LFI-NFP,monsieur le premier ministre qui n etes pas encore arrive un jour la france et le president macron seront peut etre juges avec d autres dirigeants devant un tribunal international pour complicite de genocide applaudissements sur les bancs du groupe lfi nfp le temps de la justice est celui du temps long mais en attendant chaque jour des vies humaines sont aneanties en palestine au moins 55 000 personnes ont ete tuees depuis vingt mois en iran plus de 600 personnes sont mortes sous les bombes en dix jours les frappes israeliennes ont vise des prisons notamment celle ou sont detenus deux francais cecile kohler et jacques paris applaudissements sur les bancs des groupes lfi nfp et ecos m eric bothorel applaudit aussi les bombardements etats uniens dont le president de la republique a dit partager les objectifs ont cible des infrastructures nucleaires ces attaques sont des crimes de guerre qui doivent etre condamnes comme tels sans ambiguite applaudissements sur les bancs des groupes lfi nfp et ecos et vous la meme semaine vous avez signe docilement sur l ordre de trump et sous l egide de l otan l augmentation de notre budget militaire a hauteur de 5 du pib vous choisissez ainsi de sacrifier encore un peu plus nos hopitaux notre sante nos ecoles et notre protection sociale vous vous placez aux cotes du chancelier allemand qui a remercie israel de faire le sale boulot pour nous tous jamais personne n a libere un peuple en le bombardant applaudissements sur les bancs des groupes lfi nfp et ecos,"['israelien' 'israel' 'palestine' 'israeliennes' 'israelienne' 'crif'
 'bombardement' 'genocide' 'crimes de guerre' 'bombardements']",,,,,,
19,assemblee_nationale,Mme Mathilde Panot,2025-05-20,P7_cessez_feu,LFI-NFP,son but deporter le peuple palestinien de cet hemicycle nous disons a netanyahou et a ses soutiens inconditionnels gaza ne sera jamais israelienne applaudissements sur les bancs du groupe lfi nfp m benjamin lucas lundy applaudit aussi des palestiniens transformes en squelettes par une famine utilisee comme arme de guerre les hopitaux rases l horreur d un nettoyage ethnique devant le premier genocide de l histoire de l humanite filme en direct personne ne pourra dire qu il ne savait pas memes mouvements,"['palestiniens' 'israelien' 'israel' 'gaza' 'netanyahou' 'palestinien'
 'israelienne' 'famine' 'genocide']",,,,,,
20,assemblee_nationale,Mme Mathilde Panot,2023-10-23,P1_choc,LFI,et que les bombes cessent de pleuvoir sur une population palestinienne prise au piege dans ce que dominique de villepin appelait a juste titre une prison a ciel ouvert memes mouvements,['palestinien' 'palestinienne'],,,,,,
