batch,bloc,pct_ceasefire_v4,n,batch_center
CEASEFIRE_BREACH,Centre / Majorite,10.606060606060606,132,2025-02-14 12:00:00
CEASEFIRE_BREACH,Droite,0.0,117,2025-02-14 12:00:00
CEASEFIRE_BREACH,Gauche moderee,11.864406779661017,59,2025-02-14 12:00:00
CEASEFIRE_BREACH,Gauche radicale,12.18961625282167,443,2025-02-14 12:00:00
CHOC,Centre / Majorite,3.484320557491289,287,2023-10-26 12:00:00
CHOC,Droite,0.5681818181818182,352,2023-10-26 12:00:00
CHOC,Gauche moderee,41.75824175824176,182,2023-10-26 12:00:00
CHOC,Gauche radicale,36.628643852978456,789,2023-10-26 12:00:00
MANDATS_CPI,Centre / Majorite,12.5,16,2024-12-11 00:00:00
MANDATS_CPI,Droite,11.11111111111111,36,2024-12-11 00:00:00
MANDATS_CPI,Gauche moderee,9.67741935483871,31,2024-12-11 00:00:00
MANDATS_CPI,Gauche radicale,5.752212389380531,226,2024-12-11 00:00:00
NEW_OFFENSIVE,Centre / Majorite,11.363636363636363,264,2025-05-16 00:00:00
NEW_OFFENSIVE,Droite,0.0,199,2025-05-16 00:00:00
NEW_OFFENSIVE,Gauche moderee,12.396694214876034,121,2025-05-16 00:00:00
NEW_OFFENSIVE,Gauche radicale,7.635694572217111,1087,2025-05-16 00:00:00
POST_CIJ,Centre / Majorite,10.909090909090908,55,2024-02-05 00:00:00
POST_CIJ,Droite,3.125,32,2024-02-05 00:00:00
POST_CIJ,Gauche moderee,52.17391304347826,46,2024-02-05 00:00:00
POST_CIJ,Gauche radicale,35.02304147465438,217,2024-02-05 00:00:00
POST_SINWAR,Centre / Majorite,15.151515151515152,33,2024-10-23 00:00:00
POST_SINWAR,Droite,2.3255813953488373,43,2024-10-23 00:00:00
POST_SINWAR,Gauche moderee,0.0,7,2024-10-23 00:00:00
POST_SINWAR,Gauche radicale,11.03896103896104,154,2024-10-23 00:00:00
RAFAH,Centre / Majorite,14.615384615384617,130,2024-05-23 12:00:00
RAFAH,Droite,4.225352112676056,71,2024-05-23 12:00:00
RAFAH,Gauche moderee,17.92452830188679,106,2024-05-23 12:00:00
RAFAH,Gauche radicale,15.970149253731345,670,2024-05-23 12:00:00
