batch,stance_mean,stance_std,n,bloc
CEASEFIRE_BREACH,-1.3418803418803418,0.8424348246804408,117,Droite
CHOC,-1.4232954545454546,0.6998758076088543,352,Droite
MANDATS_CPI,-1.0,1.0419761445034554,36,Droite
NEW_OFFENSIVE,-1.4472361809045227,0.6080104161600182,199,Droite
POST_CIJ,-1.3125,0.6927039119836262,32,Droite
POST_SINWAR,-0.8837209302325582,1.1993907645050743,43,Droite
RAFAH,-1.5492957746478873,0.6716447273961392,71,Droite
