author,bloc,group,stance_mean,stance_std,stance_min,stance_max,n_textes,n_months,first_month,last_month,stance_range,is_mover
M. Fabien Roussel (GDR-NUPES),Gauche radicale,GDR,0.5,0.7071067811865476,0,1,2,2,2023-10-23 00:00:00,2023-11-07 00:00:00,1,False
M. Florian Chauche,Gauche radicale,LFI,2.0,0.0,2,2,2,1,2024-03-26 00:00:00,2024-03-26 00:00:00,0,False
M. Franck Riester,Centre / Majorite,REN,-0.5,1.0,-1,1,4,2,2024-03-12 00:00:00,2024-05-28 00:00:00,2,True
M. Frank Giletti,Droite,RN,-1.3333333333333333,1.1547005383792517,-2,0,3,2,2023-11-07 00:00:00,2024-03-28 00:00:00,2,True
M. François Bayrou,Centre / Majorite,EPR,-0.30303030303030304,1.1035411321301214,-2,1,33,3,2025-02-19 00:00:00,2025-06-25 00:00:00,3,True
M. François Cormier-Bouligeon,Centre / Majorite,EPR,-1.0,0.0,-1,-1,3,2,2024-11-05 00:00:00,2025-01-16 00:00:00,0,False
M. François Cormier-Bouligeon,Centre / Majorite,REN,-1.0,0.8660254037844386,-2,1,9,6,2023-10-23 00:00:00,2024-05-07 00:00:00,3,True
M. François Cormier-Bouligeon (RE),Centre / Majorite,REN,-1.5,0.7071067811865476,-2,-1,2,2,2023-10-23 00:00:00,2024-01-16 00:00:00,1,False
M. François Jolivet,Centre / Majorite,HOR,-1.0,,-1,-1,1,1,2025-01-16 00:00:00,2025-01-16 00:00:00,0,False
M. François Piquemal,Gauche radicale,LFI,0.6666666666666666,2.3094010767585034,-2,2,3,2,2023-10-12 00:00:00,2024-02-13 00:00:00,4,True
M. François Piquemal,Gauche radicale,LFI-NFP,-2.0,,-2,-2,1,1,2025-05-06 00:00:00,2025-05-06 00:00:00,0,False
M. François Ruffin,Gauche radicale,LFI,1.5,0.7071067811865476,1,2,2,1,2024-01-16 00:00:00,2024-01-16 00:00:00,1,False
M. Frédéric Falcon,Droite,RN,-2.0,,-2,-2,1,1,2025-02-06 00:00:00,2025-02-06 00:00:00,0,False
M. Frédéric Maillot,Gauche radicale,GDR,1.5,0.7071067811865476,1,2,2,1,2023-12-05 00:00:00,2023-12-05 00:00:00,1,False
M. Frédéric Mathieu,Gauche radicale,LFI,1.75,0.5,1,2,4,1,2024-04-10 00:00:00,2024-04-10 00:00:00,1,False
M. Frédéric Petit,Centre / Majorite,DEM,0.5,0.5773502691896257,0,1,4,2,2025-03-12 00:00:00,2025-06-25 00:00:00,1,False
M. Frédéric Petit,Centre / Majorite,MODEM,1.0,,1,1,1,1,2024-01-16 00:00:00,2024-01-16 00:00:00,0,False
M. Frédéric Petit (Dem),Centre / Majorite,DEM,-0.3333333333333333,0.5773502691896258,-1,0,3,2,2025-01-14 00:00:00,2025-06-25 00:00:00,1,False
M. Gabriel Amard,Gauche radicale,LFI-NFP,-1.0,,-1,-1,1,1,2025-06-02 00:00:00,2025-06-02 00:00:00,0,False
M. Gabriel Attal,Centre / Majorite,EPR,-1.0,0.0,-1,-1,2,2,2025-04-29 00:00:00,2025-06-24 00:00:00,0,False
M. Gabriel Attal,Centre / Majorite,REN,-0.3181818181818182,0.8387271329003273,-1,1,22,2,2024-04-10 00:00:00,2024-05-29 00:00:00,2,True
M. Grégoire de Fournas,Droite,RN,-1.0,,-1,-1,1,1,2024-05-23 00:00:00,2024-05-23 00:00:00,0,False
M. Guillaume Kasbarian,Centre / Majorite,REN,-1.0,,-1,-1,1,1,2023-10-09 00:00:00,2023-10-09 00:00:00,0,False
