month_ts,variance_inter_blocs,cosine_dist_mean
2023-10-01,1.6239174930569547,0.6712854555041904
2023-11-01,1.4615313332521715,0.8461755827963898
2023-12-01,1.3406823214599646,0.8997995094245339
2024-01-01,2.3282361391874633,0.860295585108453
2024-02-01,2.137366491437748,0.858277987702753
2024-03-01,2.4431222229176863,0.8534910303525424
2024-04-01,1.828500241474351,0.866491442188888
2024-05-01,2.334366119798529,0.8174824221878659
2024-06-01,1.945674042328415,0.8775861362962839
2024-07-01,2.352043008786398,0.8982287508511145
2024-08-01,2.136928155722139,0.8997095572798893
2024-09-01,2.2019894671236706,0.9093801917751465
2024-10-01,1.9619722915525377,0.8378253977272995
2024-11-01,2.0272408393372117,0.8616517233292659
2024-12-01,1.6518484305778116,0.9335631364480556
2025-01-01,1.2290401009956045,0.83976608406036
2025-02-01,1.940309280131148,0.9031427197749217
2025-03-01,1.8371741905864898,0.8755970689601481
2025-04-01,2.0418091607774773,0.8967770916480607
2025-05-01,1.8859281621115567,0.8179229426570122
2025-06-01,1.8747360558901487,0.7512439393626158
2025-07-01,2.410731635972134,0.8695863780247594
2025-08-01,2.879449740159108,0.9188890916676812
2025-09-01,1.7561146490224442,0.8700565635358738
2025-10-01,1.670018066551201,0.8576722939273136
2025-11-01,1.8540430526266574,0.9069041709897183
2025-12-01,1.8212002526545665,0.9196614163967699
2026-01-01,1.799011501532495,0.9694929966542758
