bloc,n_deputes,stance_mean_global,stance_std_global,pct_movers
Centre / Majorite,141,-0.6080573269666526,0.6716109755177742,0.41134751773049644
Droite,125,-1.187833883574768,0.5727101893737694,0.304
Gauche moderee,73,0.5931570651129321,0.7051742956183128,0.3835616438356164
Gauche radicale,162,1.1901284296546246,0.7877133367223468,0.5246913580246914
