Député,Facebook,Twitter
M. Sébastien Chenu,https://fr-fr.facebook.com/chenu.sebastien/,https://twitter.com/@sebchenu/
M. Paul Christophe,https://fr-fr.facebook.com/Paul-Christophe-Député-du-Nord-1387587231318843/,https://twitter.com/@christophe_p/
M. Roger Chudeau,https://fr-fr.facebook.com/RogerChudeau4102/,https://twitter.com/@ChudeauR/
M. Dino Cinieri,https://fr-fr.facebook.com/dino.cinieri/,https://twitter.com/@DinoCinieri/
M. Éric Ciotti,https://fr-fr.facebook.com/ECIOTTI/,https://twitter.com/@ECiotti/
Mme Mireille Clapot,https://fr-fr.facebook.com/CLAPOTMireille/,https://twitter.com/@clapotmireille/
M. Hadrien Clouet,,https://twitter.com/@HadrienClouet/
M. Paul-André Colombani,https://fr-fr.facebook.com/PAcolombani/,https://twitter.com/@pacolombani/
Mme Caroline Colombier,,https://twitter.com/@CColombier_RN/
M. Éric Coquerel,https://fr-fr.facebook.com/eric.coquerel.1/,https://twitter.com/@ericcoquerel/
M. Alexis Corbière,https://fr-fr.facebook.com/Alexiscorbiere/,https://twitter.com/@alexiscorbiere/
M. Pierre Cordier,https://fr-fr.facebook.com/pierre.cordier.1004/,https://twitter.com/@CORDIERPierre08/
M. François Cormier-Bouligeon,https://fr-fr.facebook.com/@francoiscormierbouligeonmajoritepresidentielle/,https://twitter.com/@FCBDeputeduCher/
M. Jean-François Coulomme,,https://twitter.com/@jfcoulomme/
M. Laurent Croizier,,https://twitter.com/@CroizierLaurent/
M. Jean-Pierre Cubertafon,https://fr-fr.facebook.com/jeanpierre.cubertafon/,
M. Dominique Da Silva,,https://twitter.com/@DDaSilva95/
Mme Marie-Christine Dalloz,https://fr-fr.facebook.com/mariechristinedalloz/,
M. Romain Daubié,https://fr-fr.facebook.com/romain.daubie/,
M. Hendrik Davi,https://fr-fr.facebook.com/hdavi13/,https://twitter.com/@hendrik_davi/
Mme Christine Decodts,https://fr-fr.facebook.com/Christine Caron Decodts/,
M. Arthur Delaporte,,https://twitter.com/@arthurdelaporte/
M. Stéphane Delautrette,https://fr-fr.facebook.com/profile.php?id=100009065043065/,https://twitter.com/@SDelautrette/
M. Sébastien Delogu,,https://twitter.com/@sebastiendelogu/
Mme Julie Delpech,https://fr-fr.facebook.com/JulieDelpechSarthe/,https://twitter.com/@juliedelpech72/
Mme Béatrice Descamps,https://fr-fr.facebook.com/bddeputee2159/,https://twitter.com/@beadescamps/
M. Vincent Descoeur,,https://twitter.com/@VincentDescoeur/
M. Frédéric Descrozaille,https://fr-fr.facebook.com/fdescrozaille9401/,https://twitter.com/@fdescrozaille/
Mme Mathilde Desjonquères,https://fr-fr.facebook.com/mathilde desjonquères/,https://twitter.com/@mathilde desjonqR/
M. Jocelyn Dessigny,,https://twitter.com/@JocelynDessigny/
Mme Edwige Diaz,https://fr-fr.facebook.com/DiazEdwige/,https://twitter.com/@diaz_edwige/
M. Benjamin Dirx,https://fr-fr.facebook.com/DirxBenjamin/,https://twitter.com/@BenjaminDirx/
M. Julien Dive,,https://twitter.com/@juliendive/
M. Nicolas Dragon,https://fr-fr.facebook.com/nicolasdragon/,
Mme Nicole Dubré-Chirat,https://fr-fr.facebook.com/nicoledubrechirat/,https://twitter.com/@NicoleDubre17/
Mme Virginie Duby-Muller,https://fr-fr.facebook.com/vir.muller/,https://twitter.com/@DubyMuller/
Mme Alma Dufour,,https://twitter.com/@alma_dufour/
M. Pierre-Henri Dumont,https://fr-fr.facebook.com/pierrehenri.dumont/,https://twitter.com/@phdumont/
M. Philippe Dunoyer,https://fr-fr.facebook.com/philippe.dunoyer/,https://twitter.com/@DunoyerPhilippe/
Mme Stella Dupont,https://fr-fr.facebook.com/stelladupont/,https://twitter.com/@stelladupont/
M. Nicolas Dupont-Aignan,https://fr-fr.facebook.com/nicolasdupontaignan/,https://twitter.com/@dupontaignan/
M. Olivier Falorni,https://fr-fr.facebook.com/olivierfalorni/,https://twitter.com/@OlivierFalorni/
Mme Elsa Faucillon,https://fr-fr.facebook.com/elsafaucillondeputee/,https://twitter.com/@elsafaucillon/
M. Olivier Faure,https://fr-fr.facebook.com/olivierfaure77/,https://twitter.com/@faureolivier/
M. Yannick Favennec-Bécot,,https://twitter.com/@yfavennec/
M. Emmanuel Fernandes,https://fr-fr.facebook.com/fernandesnupes2022/,https://twitter.com/@emmanfernandes/
M. Marc Ferracci,,https://twitter.com/@FerracciMarc/
Mme Marina Ferrari,https://fr-fr.facebook.com/marina.ferrari.940/,
Mme Caroline Fiat,https://fr-fr.facebook.com/kro.epousefiat/,https://twitter.com/@CarolineFiat54/
Mme Estelle Folest,,https://twitter.com/@efolest/
M. Nicolas Forissier,https://fr-fr.facebook.com/nicolas.forissier/,https://twitter.com/@N_Forissier/
M. Grégoire de Fournas,,https://twitter.com/@gdefournas/
M. Charles Fournier,https://fr-fr.facebook.com/CharlesFournierTours/,https://twitter.com/@cfourniereelv/
Mme Martine Froger,,https://twitter.com/MartineFrogerAN/
M. Bruno Fuchs,https://fr-fr.facebook.com/BrunoFuchsHautRhin2017/,https://twitter.com/@bruno_fuchs/
M. Jean-Luc Fugit,https://fr-fr.facebook.com/@jeanlucfugit/,https://twitter.com/@Jean_LucFUGIT/
M. Guillaume Garot,https://fr-fr.facebook.com/guillaumegarot.fr/,https://twitter.com/@guillaumegarot/
Mme Raquel Garrido,https://fr-fr.facebook.com/Raquel Garrido/,https://twitter.com/@RaquelGarridoFr/
M. Thomas Gassilloud,https://fr-fr.facebook.com/ThomasGassilloud/,https://twitter.com/@tgassilloud/
Mme Maud Gatel,https://fr-fr.facebook.com/gatelmaud/,https://twitter.com/@maudgatel/
M. Jean-Jacques Gaultier,https://fr-fr.facebook.com/Jean-Jacques-Gaultier-1088303261286818/,https://twitter.com/@JJ_Gaultier/
Mme Anne Genetet,https://fr-fr.facebook.com/Anne Genetet - Députée/,https://twitter.com/@AGenetet/
M. Raphaël Gérard,https://fr-fr.facebook.com/RaphaelGerardDepute17/,https://twitter.com/@RaphaelGerard17/
M. François Gernigon,https://fr-fr.facebook.com/FrGernigon/,https://twitter.com/@F_Gernigon/
M. Frank Giletti,,https://twitter.com/@FrankGiletti/
M. Yoann Gillet,https://fr-fr.facebook.com/YoannGillet30/,https://twitter.com/@YoannGillet30/
M. Éric Girardin,https://fr-fr.facebook.com/Eric Girardin/,https://twitter.com/@GirardinEric/
Mme Olga Givernet,https://fr-fr.facebook.com/Page-politique-dOlga-Givernet-1118292008192135/,https://twitter.com/@OlgaGivernet/
M. José Gonzalez,https://fr-fr.facebook.com/José Gonzalez (conseiller regional)/,
M. Philippe Gosselin,https://fr-fr.facebook.com/phgosselin/,https://twitter.com/@phgosselin/
M. Guillaume Gouffier Valente,https://fr-fr.facebook.com/GouffierChaLegislatives/,https://twitter.com/@g_gouffiercha/
Mme Perrine Goulet,https://fr-fr.facebook.com/perrinegouletDEM/,https://twitter.com/@perrinegoulet/
Mme Géraldine Grangier,https://fr-fr.facebook.com/Géraldine Grangier/,https://twitter.com/@GrangierGe/
M. Jean-Carles Grelier,https://fr-fr.facebook.com/jeancarles.grelier/,
M. Jérôme Guedj,https://fr-fr.facebook.com/jerome.guedj/,https://twitter.com/@JeromeGuedj/
