bloc,tau,p
Gauche radicale,0.19047619047619047,0.16209473670855826
Gauche moderee,-0.19098210422376907,0.15472892348537853
Centre / Majorite,0.08994708994708994,0.5179179428613762
Droite,-0.11390738468263202,0.39549402218646723
