event,bloc,tau,p_mk
Cessez-le-feu,Gauche radicale,0.10155422114951851,0.3394049110948445
Mandats CPI,Gauche radicale,-0.07619632416277089,0.4298873487022532
Cessez-le-feu,Gauche moderee,-0.1283554891036813,0.44901737868234637
Mandats CPI,Gauche moderee,0.017647364143889368,0.9073814937715245
Cessez-le-feu,Centre / Majorite,0.05550837460814409,0.7649901927589428
Mandats CPI,Centre / Majorite,0.04540619811366536,0.7181852269295643
Cessez-le-feu,Droite,0.12838634822635545,0.43300821232079933
Mandats CPI,Droite,0.10985580876713999,0.34602604724970754
